id,thing,pool_id,weight,filter_condition
1,28:2037:1,1,10,2037|15
2,28:2039:1,1,10,2039|15
3,28:2047:1,1,10,2047|15
4,28:2049:1,1,10,2049|15
5,28:2050:1,1,10,2050|15
6,28:2051:1,1,10,2051|15
7,28:2053:1,1,10,2053|15
8,28:2055:1,1,10,2055|15
9,28:2056:1,1,10,2056|15
10,28:2057:1,1,10,2057|15
11,28:2060:1,1,10,2060|15
12,28:2063:1,1,10,2063|15
13,28:2065:1,1,10,2065|15
14,28:2067:1,1,10,2067|15
15,28:2068:1,1,10,2068|15
16,28:2069:1,1,10,2069|15
17,28:2071:1,1,10,2071|15
18,28:2073:1,1,10,2073|15
19,28:2074:1,1,10,2074|15
20,28:2075:1,1,10,2075|15
21,28:2076:1,1,10,2076|15
22,28:2078:1,1,10,2078|15
23,28:2081:1,1,10,2081|15
24,28:2082:1,1,10,2082|15
25,28:2083:1,1,10,2083|15
26,28:2084:1,1,10,2084|15
27,28:2086:1,1,10,2086|15
28,28:2087:1,1,10,2087|15
29,28:2037:1,2,10,2037|15
30,28:2039:1,2,10,2039|15
31,28:2047:1,2,10,2047|15
32,28:2049:1,2,10,2049|15
33,28:2050:1,2,10,2050|15
34,28:2051:1,2,10,2051|15
35,28:2053:1,2,10,2053|15
36,28:2055:1,2,10,2055|15
37,28:2056:1,2,10,2056|15
38,28:2057:1,2,10,2057|15
39,28:2060:1,2,10,2060|15
40,28:2063:1,2,10,2063|15
41,28:2065:1,2,10,2065|15
42,28:2067:1,2,10,2067|15
43,28:2068:1,2,10,2068|15
44,28:2069:1,2,10,2069|15
45,28:2071:1,2,10,2071|15
46,28:2073:1,2,10,2073|15
47,28:2074:1,2,10,2074|15
48,28:2075:1,2,10,2075|15
49,28:2076:1,2,10,2076|15
50,28:2078:1,2,10,2078|15
51,28:2081:1,2,10,2081|15
52,28:2082:1,2,10,2082|15
53,28:2083:1,2,10,2083|15
54,28:2084:1,2,10,2084|15
55,28:2086:1,2,10,2086|15
56,28:2087:1,2,10,2087|15
57,24:2037:1,2,10,2037|9
58,24:2039:1,3,10,2039|9
59,24:2047:1,3,10,2047|9
60,24:2049:1,3,10,2049|9
61,24:2050:1,3,10,2050|9
62,24:2051:1,3,10,2051|9
63,24:2053:1,3,10,2053|9
64,24:2055:1,3,10,2055|9
65,24:2056:1,3,10,2056|9
66,24:2057:1,3,10,2057|9
67,24:2060:1,3,10,2060|9
68,24:2063:1,3,10,2063|9
69,24:2065:1,3,10,2065|9
70,24:2067:1,3,10,2067|9
71,24:2068:1,3,10,2068|9
72,24:2069:1,3,10,2069|9
73,24:2071:1,3,10,2071|9
74,24:2073:1,3,10,2073|9
75,24:2074:1,3,10,2074|9
76,24:2075:1,3,10,2075|9
77,24:2076:1,3,10,2076|9
78,24:2077:1,3,10,2077|9
79,24:2078:1,3,10,2078|9
80,24:2081:1,3,10,2081|9
81,24:2082:1,3,10,2082|9
82,24:2083:1,3,10,2083|9
83,24:2084:1,3,10,2084|9
84,24:2086:1,3,10,2086|9
85,24:2087:1,3,10,2087|9
