id,hero_cid,signal,other_hero_cids,light_level,skill_id
1,2049,1,2050|2051|2053|2055,10,66662101
2,2049,1,2050|2051|2053|2055,20,66662201
3,2049,1,2050|2051|2053|2055,30,66662301
4,2050,1,2049|2051|2053|2055,10,66662101
5,2050,1,2049|2051|2053|2055,20,66662201
6,2050,1,2049|2051|2053|2055,30,66662301
7,2051,1,2049|2050|2053|2055,10,66662101
8,2051,1,2049|2050|2053|2055,20,66662201
9,2051,1,2049|2050|2053|2055,30,66662301
10,2053,3,2049|2050|2051|2055,10,66662101
11,2053,3,2049|2050|2051|2055,20,66662201
12,2053,3,2049|2050|2051|2055,30,66662301
13,2055,2,2049|2050|2051|2053,10,66662101
14,2055,2,2049|2050|2051|2053,20,66662201
15,2055,2,2049|2050|2051|2053,30,66662301
