index,train_type,value_min,value_max,minus_rate,small_add_rate,big_add_rate
1,1,0,200,0,0,1000
2,1,200,500,0,300,700
3,1,500,1000,0,500,500
4,1,1000,1500,0,800,200
5,1,1500,2000,0,1000,0
6,1,2000,2500,100,900,0
7,1,2500,2990,200,800,0
8,1,2990,3000,0,1000,0
9,2,3000,4500,0,0,1000
10,2,4500,6000,0,300,700
11,2,6000,7500,0,500,500
12,2,7500,9000,0,800,200
13,2,9000,10500,0,1000,0
14,2,10500,12000,100,900,0
15,2,12000,14990,200,800,0
16,2,14990,15000,0,1000,0
17,3,15000,17500,0,0,1000
18,3,17500,20000,0,300,700
19,3,20000,22500,0,500,500
20,3,22500,25000,0,600,400
21,3,25000,27500,0,800,200
22,3,27500,30000,0,900,100
23,3,30000,34990,0,1000,0
24,3,34900,35000,0,1000,0
25,4,35000,37500,0,0,1000
26,4,37500,40000,0,300,700
27,4,40000,45000,0,500,500
28,4,45000,50000,0,700,300
29,4,50000,55000,0,800,200
30,4,55000,60000,0,900,100
31,4,60000,90000,0,1000,0
