stage_id,name,stage_type,defend_count,point,robot_team_ids,reward
1,High-Level Stronghold,1,3,15,1001|1002|1003,1:13:500|1:2:50
2,High-Level Stronghold,1,3,15,1001|1002|1003,1:13:500|1:2:50
3,High-Level Stronghold,1,3,15,1001|1002|1003,1:13:500|1:2:50
4,Middle-Level Stronghold,2,3,8,1004|1005|1006,1:13:500|1:2:50
5,Middle-Level Stronghold,2,3,8,1004|1005|1006,1:13:500|1:2:50
6,Middle-Level Stronghold,2,3,8,1004|1005|1006,1:13:500|1:2:50
7,Middle-Level Stronghold,2,3,8,1004|1005|1006,1:13:500|1:2:50
8,Middle-Level Stronghold,2,3,8,1004|1005|1006,1:13:500|1:2:50
9,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
10,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
11,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
12,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
13,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
14,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
15,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
16,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
17,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
18,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
19,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
20,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
21,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
22,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
23,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
24,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
25,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
26,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
27,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
28,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
29,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
30,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
31,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
32,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
33,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
34,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
35,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
36,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
37,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
38,Common Stronghold,3,3,2,1007|1008|1009,1:13:500|1:2:50
