npc_id,hero_cid,hero_level,hero_awake,if_advance,god_awake,if_super,super_awake,if_mr,mr_awake,if_incarnation,incarnation_awake,name,avatar_path,spine_name,max_hp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
112001,2001,300,2,0,0,0,0,0,0,0,0,Medusa,2001,MDS,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112002,2002,300,2,0,0,0,0,0,0,0,0,Poseidon,2002,BSD,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112003,2003,300,2,0,0,0,0,0,0,0,0,Jeanne d'Arc,2003,LXF,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112004,2004,300,2,0,0,0,0,0,0,0,0,Siren,2004,Y,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112005,2005,300,2,0,0,0,0,0,0,0,0,Nephthys,2005,NFDS,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112006,2006,300,2,0,0,0,0,0,0,0,0,Tsukuyomi,2006,YYJZ,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112007,2007,300,2,0,0,0,0,0,0,0,0,Ungnyeo,2007,XN,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112008,2008,300,2,0,0,0,0,0,0,0,0,Shennong,2008,SN,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112009,2009,300,2,0,0,0,0,0,0,0,0,Geb,2009,GB,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112010,2010,300,2,0,0,0,0,0,0,0,0,Lilith,2010,NBLS,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112011,2011,300,2,0,0,0,0,0,0,0,0,Nuit,2011,NT,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112012,2012,300,2,0,0,0,0,0,0,0,0,Gaia,2012,GY,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112013,2013,300,2,0,0,0,0,0,0,0,0,Pandora,2013,PDL,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112014,2014,300,2,0,0,0,0,0,0,0,0,Nike,2014,NK,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112015,2015,300,2,0,0,0,0,0,0,0,0,Idun,2015,YD,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112016,2016,300,2,0,0,0,0,0,0,0,0,Valkyrie,2016,WEJL,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112017,2017,300,2,0,0,0,0,0,0,0,0,Raphael,2017,LFE,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112018,2018,300,2,0,0,0,0,0,0,0,0,Minotaur,2018,MNTLS,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112019,2019,300,2,0,0,0,0,0,0,0,0,Nemesis,2019,NMXS,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112020,2020,300,2,0,0,0,0,0,0,0,0,Muse,2020,MS,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112021,2021,300,2,0,0,0,0,0,0,0,0,Iris,2021,YXS,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112022,2022,300,2,0,0,0,0,0,0,0,0,Verdandi,2022,BLDD,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112023,2023,300,2,0,0,0,0,0,0,0,0,Sif,2023,XF,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112024,2024,300,2,0,0,0,0,0,0,0,0,Lucifer,2024,LLS,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112025,2025,300,2,0,0,0,0,0,0,0,0,Nuwa,2025,LHFR,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112026,2026,300,2,0,0,0,0,0,0,0,0,Fuxi,2026,FX,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112027,2027,300,2,0,0,0,0,0,0,0,0,Xiwangmu,2027,XWM,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
112028,2028,300,2,0,0,0,0,0,0,0,0,Princess Bari,2028,BLGZ,8769600,789272,876977,8640,8640,616896,616896,368712,120960,622944,622944,150,150,30,30,700,700,700,330,150,30,414
