cfg_id,land_id,food_type,quality,thing_num,weight
1,1,1,5,0,50
2,1,1,5,1,50
3,1,1,4,1,70
4,1,1,4,2,20
5,1,1,4,3,10
6,1,1,3,10,50
7,1,1,3,10,50
8,1,1,0,100,30
9,1,1,0,120,50
10,1,1,0,150,20
11,1,2,5,0,50
12,1,2,5,1,30
13,1,2,5,2,20
14,1,2,4,2,60
15,1,2,4,3,25
16,1,2,4,4,10
17,1,2,4,5,5
18,1,2,3,15,50
19,1,2,3,15,50
20,1,2,0,150,30
21,1,2,0,180,50
22,1,2,0,200,20
23,1,3,5,1,70
24,1,3,5,2,25
25,1,3,5,3,5
26,1,3,4,3,60
27,1,3,4,4,25
28,1,3,4,5,10
29,1,3,4,6,5
30,1,3,3,20,50
31,1,3,3,20,50
32,1,3,0,200,30
33,1,3,0,240,50
34,1,3,0,260,20
35,2,1,5,0,50
36,2,1,5,1,50
37,2,1,4,1,70
38,2,1,4,2,20
39,2,1,4,3,10
40,2,1,3,10,50
41,2,1,3,10,50
42,2,1,0,100,30
43,2,1,0,120,50
44,2,1,0,150,20
45,2,2,5,0,50
46,2,2,5,1,30
47,2,2,5,2,20
48,2,2,4,2,60
49,2,2,4,3,25
50,2,2,4,4,10
51,2,2,4,5,5
52,2,2,3,15,50
53,2,2,3,15,50
54,2,2,0,150,30
55,2,2,0,180,50
56,2,2,0,200,20
57,2,3,5,1,70
58,2,3,5,2,25
59,2,3,5,3,5
60,2,3,4,3,60
61,2,3,4,4,25
62,2,3,4,5,10
63,2,3,4,6,5
64,2,3,3,20,50
65,2,3,3,20,50
66,2,3,0,200,30
67,2,3,0,240,50
68,2,3,0,260,20
69,3,1,5,0,50
70,3,1,5,1,50
71,3,1,4,1,70
72,3,1,4,2,20
73,3,1,4,3,10
74,3,1,3,10,50
75,3,1,3,10,50
76,3,1,0,100,30
77,3,1,0,120,50
78,3,1,0,150,20
79,3,2,5,0,50
80,3,2,5,1,30
81,3,2,5,2,20
82,3,2,4,2,60
83,3,2,4,3,25
84,3,2,4,4,10
85,3,2,4,5,5
86,3,2,3,15,50
87,3,2,3,15,50
88,3,2,0,150,30
89,3,2,0,180,50
90,3,2,0,200,20
91,3,3,5,1,70
92,3,3,5,2,25
93,3,3,5,3,5
94,3,3,4,3,60
95,3,3,4,4,25
96,3,3,4,5,10
97,3,3,4,6,5
98,3,3,3,20,50
99,3,3,3,20,50
100,3,3,0,200,30
101,3,3,0,240,50
102,3,3,0,260,20
103,4,1,5,0,50
104,4,1,5,1,50
105,4,1,4,1,70
106,4,1,4,2,20
107,4,1,4,3,10
108,4,1,3,10,50
109,4,1,3,10,50
110,4,1,0,100,30
111,4,1,0,120,50
112,4,1,0,150,20
113,4,2,5,0,50
114,4,2,5,1,30
115,4,2,5,2,20
116,4,2,4,2,60
117,4,2,4,3,25
118,4,2,4,4,10
119,4,2,4,5,5
120,4,2,3,15,50
121,4,2,3,15,50
122,4,2,0,150,30
123,4,2,0,180,50
124,4,2,0,200,20
125,4,3,5,1,70
126,4,3,5,2,25
127,4,3,5,3,5
128,4,3,4,3,60
129,4,3,4,4,25
130,4,3,4,5,10
131,4,3,4,6,5
132,4,3,3,20,50
133,4,3,3,20,50
134,4,3,0,200,30
135,4,3,0,240,50
136,4,3,0,260,20
137,5,1,5,0,50
138,5,1,5,1,50
139,5,1,4,1,70
140,5,1,4,2,20
141,5,1,4,3,10
142,5,1,3,10,50
143,5,1,3,10,50
144,5,1,0,100,30
145,5,1,0,120,50
146,5,1,0,150,20
147,5,2,5,0,50
148,5,2,5,1,30
149,5,2,5,2,20
150,5,2,4,2,60
151,5,2,4,3,25
152,5,2,4,4,10
153,5,2,4,5,5
154,5,2,3,15,50
155,5,2,3,15,50
156,5,2,0,150,30
157,5,2,0,180,50
158,5,2,0,200,20
159,5,3,5,1,70
160,5,3,5,2,25
161,5,3,5,3,5
162,5,3,4,3,60
163,5,3,4,4,25
164,5,3,4,5,10
165,5,3,4,6,5
166,5,3,3,20,50
167,5,3,3,20,50
168,5,3,0,200,30
169,5,3,0,240,50
170,5,3,0,260,20
