cfg_id,land_id,quality,treasure_id,weight
1,1,5,3004,10
2,1,5,3005,10
3,1,4,2002,10
4,1,4,2004,10
5,1,3,1003,10
6,1,3,1005,10
7,1,3,1006,10
8,1,3,1007,10
9,1,3,1010,10
10,2,5,3007,10
11,2,5,3003,10
12,2,4,2001,10
13,2,4,2003,10
14,2,3,1001,10
15,2,3,1002,10
16,2,3,1004,10
17,2,3,1007,10
18,2,3,1010,10
19,3,5,3006,10
20,3,5,3001,10
21,3,4,2008,10
22,3,4,2010,10
23,3,3,1002,10
24,3,3,1004,10
25,3,3,1008,10
26,3,3,1009,10
27,3,3,1012,10
28,4,5,3005,10
29,4,5,3007,10
30,4,4,2007,10
31,4,4,2005,10
32,4,3,1001,10
33,4,3,1003,10
34,4,3,1006,10
35,4,3,1008,10
36,4,3,1011,10
37,5,5,3002,10
38,5,5,3008,10
39,5,4,2006,10
40,5,4,2009,10
41,5,3,1005,10
42,5,3,1009,10
43,5,3,1010,10
44,5,3,1011,10
