layer,reward_first,normal_monster_npc_id_list,max_round,desc
1,5:3000092:2|5:3000095:2,1001,30,The enemy looks ordinary
2,5:3000092:2|5:3000095:2,1002,30,The enemy looks ordinary
3,5:3000092:2|5:3000095:2,1003,30,The enemy looks ordinary
4,5:3000092:2|5:3000095:2,1004,30,The enemy looks ordinary
5,5:3000092:6|5:3000095:6,1005,30,The enemy looks ordinary
6,5:3000092:2|5:3000095:2,1006,30,The enemy looks ordinary
7,5:3000092:2|5:3000095:2,1007,30,The enemy looks ordinary
8,5:3000092:2|5:3000095:2,1008,30,The enemy looks ordinary
9,5:3000092:2|5:3000095:2,1009,30,The enemy looks ordinary
10,5:3000092:8|5:3000095:8,1010,30,The enemy looks ordinary
11,5:3000092:2|5:3000095:2,1011,30,The enemy looks ordinary
12,5:3000092:2|5:3000095:2,1012,30,The enemy looks ordinary
13,5:3000092:2|5:3000095:2,1013,30,The enemy looks ordinary
14,5:3000092:2|5:3000095:2,1014,30,The enemy looks ordinary
15,5:3000092:2|5:3000095:2,1015,30,The enemy looks ordinary
16,5:3000092:3|5:3000095:2,1016,30,The enemy looks ordinary
17,5:3000092:3|5:3000095:2,1017,30,The enemy looks ordinary
18,5:3000092:3|5:3000095:2,1018,30,The enemy looks ordinary
19,5:3000092:3|5:3000095:2,1019,30,The enemy looks ordinary
20,5:3000092:10|5:3000095:8,1020,30,The enemy looks ordinary
21,5:3000092:2|5:3000095:2,1021,30,"Your enemies also know well that To kill a snake, you must cut off its head first. Watch for their targeted tactic."
22,5:3000092:2|5:3000095:2,1022,30,"Your enemies also know well that To kill a snake, you must cut off its head first. Watch for their targeted tactic."
23,5:3000092:2|5:3000095:2,1023,30,"Your enemies also know well that To kill a snake, you must cut off its head first. Watch for their targeted tactic."
24,5:3000092:2|5:3000095:2,1024,30,"Your enemies also know well that To kill a snake, you must cut off its head first. Watch for their targeted tactic."
25,5:3000092:2|5:3000095:2,1025,30,"Your enemies also know well that To kill a snake, you must cut off its head first. Watch for their targeted tactic."
26,5:3000092:2|5:3000095:2,1026,30,"Your enemies also know well that To kill a snake, you must cut off its head first. Watch for their targeted tactic."
27,5:3000092:3|5:3000095:2,1027,30,"Your enemies also know well that To kill a snake, you must cut off its head first. Watch for their targeted tactic."
28,5:3000092:3|5:3000095:2,1028,30,"Your enemies also know well that To kill a snake, you must cut off its head first. Watch for their targeted tactic."
29,5:3000092:3|5:3000095:2,1029,30,"Your enemies also know well that To kill a snake, you must cut off its head first. Watch for their targeted tactic."
30,5:3000092:9|5:3000095:10,1030,30,"Your enemies also know well that To kill a snake, you must cut off its head first. Watch for their targeted tactic."
31,5:3000092:3|5:3000095:3,1031,30,"Your enemies also know well that To kill a snake, you must cut off its head first. Watch for their targeted tactic."
32,5:3000092:3|5:3000095:3,1032,30,"Your enemies also know well that To kill a snake, you must cut off its head first. Watch for their targeted tactic."
33,5:3000092:3|5:3000095:3,1033,30,"Your enemies also know well that To kill a snake, you must cut off its head first. Watch for their targeted tactic."
34,5:3000092:3|5:3000095:3,1034,30,"Your enemies also know well that To kill a snake, you must cut off its head first. Watch for their targeted tactic."
35,5:3000092:3|5:3000095:3,1035,30,"Your enemies also know well that To kill a snake, you must cut off its head first. Watch for their targeted tactic."
36,5:3000092:3|5:3000095:3,1036,30,"Your enemies also know well that To kill a snake, you must cut off its head first. Watch for their targeted tactic."
37,5:3000092:3|5:3000095:3,1037,30,"Your enemies also know well that To kill a snake, you must cut off its head first. Watch for their targeted tactic."
38,5:3000092:3|5:3000095:3,1038,30,"Your enemies also know well that To kill a snake, you must cut off its head first. Watch for their targeted tactic."
39,5:3000092:3|5:3000095:3,1039,30,"Your enemies also know well that To kill a snake, you must cut off its head first. Watch for their targeted tactic."
40,5:3000092:16|5:3000095:14,1040,30,"Your enemies also know well that To kill a snake, you must cut off its head first. Watch for their targeted tactic."
41,5:3000092:4|5:3000095:3,1041,30,The enemy seems to be afraid of pain and will continue to heal himself
42,5:3000092:4|5:3000095:3,1042,30,The enemy seems to be afraid of pain and will continue to heal himself
43,5:3000092:4|5:3000095:3,1043,30,The enemy seems to be afraid of pain and will continue to heal himself
44,5:3000092:4|5:3000095:3,1044,30,The enemy seems to be afraid of pain and will continue to heal himself
45,5:3000092:4|5:3000095:3,1045,30,The enemy seems to be afraid of pain and will continue to heal himself
46,5:3000092:4|5:3000095:3,1046,30,The enemy seems to be afraid of pain and will continue to heal himself
47,5:3000092:4|5:3000095:3,1047,30,The enemy seems to be afraid of pain and will continue to heal himself
48,5:3000092:4|5:3000095:3,1048,30,The enemy seems to be afraid of pain and will continue to heal himself
49,5:3000092:4|5:3000095:3,1049,30,The enemy seems to be afraid of pain and will continue to heal himself
50,5:3000092:17|5:3000095:16,1050,30,The enemy seems to be afraid of pain and will continue to heal himself
51,5:3000092:10|5:3000095:9,1051,30,The enemy seems to be afraid of pain and will continue to heal himself
52,5:3000092:10|5:3000095:9,1052,30,The enemy seems to be afraid of pain and will continue to heal himself
53,5:3000092:10|5:3000095:9,1053,30,The enemy seems to be afraid of pain and will continue to heal himself
54,5:3000092:10|5:3000095:9,1054,30,The enemy seems to be afraid of pain and will continue to heal himself
55,5:3000092:12|5:3000095:9,1055,30,The enemy seems to be afraid of pain and will continue to heal himself
56,5:3000092:10|5:3000095:9,1056,30,The enemy seems to be afraid of pain and will continue to heal himself
57,5:3000092:10|5:3000095:9,1057,30,The enemy seems to be afraid of pain and will continue to heal himself
58,5:3000092:10|5:3000095:9,1058,30,The enemy seems to be afraid of pain and will continue to heal himself
59,5:3000092:10|5:3000095:9,1059,30,The enemy seems to be afraid of pain and will continue to heal himself
60,5:3000092:16|5:3000095:9,1060,30,The enemy seems to be afraid of pain and will continue to heal himself
61,5:3000092:12|5:3000095:12,1061,30,"The enemy has a skill of highly individual damage, and will be even more tough by the time. Pay attention to kill it quickly"
62,5:3000092:12|5:3000095:12,1062,30,"The enemy has a skill of highly individual damage, and will be even more tough by the time. Pay attention to kill it quickly"
