npc_id,name,avatar_path,spine_name,role,job,level,skill_id_list,skill_id_normal_attack,hp,minatk,maxatk,pdef,mdef,def,defend_ignore_level,hit,dhit,cir,dcir,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed,fight_value
1001,Frost Troll,NPC7.png,NPC7,14,2,81,112202001,0,1729000,186772,193600,6032,10713,10713,18100,32066,90,19341,21100,0,0,0,0,0,0,0,0,0,0,0,1279800
1002,Tundra Wolf,NPC15.png,NPC15,14,2,82,112202001,0,1843000,193811,203200,6229,10920,10920,18700,32462,90,19889,21697,0,0,0,0,0,0,0,0,0,0,0,1344500
1003,Zombie,NPC6.png,NPC6,14,2,83,112202001,0,1957000,200850,212800,6426,11126,11126,19300,32858,90,20437,22295,0,0,0,0,0,0,0,0,0,0,0,1377500
1004,Raven Hag,NPC10.png,NPC10,14,2,84,112202001,0,2071000,207888,222400,6623,11332,11332,19900,33254,90,20985,22892,0,0,0,0,0,0,0,0,0,0,0,1410500
1005,Frost Dragon,NPC1.png,NPC1,14,2,85,112202001,0,2185000,268660,290000,6820,11539,11539,20500,33650,90,21533,23490,0,0,0,0,0,0,0,0,0,0,0,1443500
1006,World Devourer,NPC17.png,NPC17,14,2,86,100304001,0,2299000,221966,241600,7016,11745,11745,21100,34046,90,22080,24088,0,0,0,0,0,0,0,0,0,0,0,1476500
1007,Dwarf Centurion,NPC5.png,NPC5,14,2,87,100304001,0,2413000,229004,251200,7213,11952,11952,21700,34442,90,22628,24685,0,0,0,0,0,0,0,0,0,0,0,1509500
1008,Soul Reaper,NPC4.png,NPC4,14,2,88,100304001,0,2527000,236044,260800,7410,12158,12158,22300,34838,90,23176,25283,0,0,0,0,0,0,0,0,0,0,0,1542500
1009,Luke Blacktooth,NPC11.png,NPC11,14,2,89,112202001,0,2641000,243082,270400,7607,12364,12364,22900,35234,90,23724,25880,0,0,0,0,0,0,0,0,0,0,0,1575500
1010,Stone Mistress,NPC9.png,NPC9,14,3,90,112801001,0,3114100,305776,343680,8729,12708,12708,23900,35894,90,24637,26876,0,0,0,0,0,0,0,0,0,0,0,1764200
1011,Yellow Wind Demon,NPC5.png,NPC5,14,1,91,112202001,0,3161125,282772,317972,8873,12815,12815,24200,36166,100,24979,27250,0,0,0,0,0,0,0,0,0,0,0,1952900
1012,Nine-Headed Serpent,NPC4.png,NPC4,14,2,92,112202001,0,3317875,289809,325009,9310,13064,13064,25400,37162,100,26352,28747,0,0,0,0,0,0,0,0,0,0,0,2141600
1013,Bull Demon King,NPC9.png,NPC9,14,2,93,112202001,0,3474625,296846,332046,9749,13314,13314,26600,38158,100,27724,30245,0,0,0,0,0,0,0,0,0,0,0,2330300
1014,Ganoderma,NPC1.png,NPC1,14,2,94,112202001,0,3631375,303884,339084,10187,13564,13564,27800,39154,100,29097,31742,0,0,0,0,0,0,0,0,0,0,0,2519000
1015,Spirit of Lust,NPC9.png,NPC9,14,2,95,112202001,0,3788125,388652,432652,10626,13813,13813,29000,40150,100,30470,33240,0,0,0,0,0,0,0,0,0,0,0,2707700
1016,Fallen Paladin,NPC1.png,NPC1,14,2,96,100304001,0,3944875,317957,353157,11064,14063,14063,30200,41146,100,31843,34738,0,0,0,0,0,0,0,0,0,0,0,2896400
1017,Witch Hunter,NPC7.png,NPC7,14,2,97,100304001,0,4101625,324995,360195,11502,14312,14312,31400,42142,100,33216,36235,0,0,0,0,0,0,0,0,0,0,0,3085100
1018,Bloodthirst Priest,NPC15.png,NPC15,14,2,98,100304001,0,4258375,332033,367233,11941,14562,14562,32600,43138,100,34588,37733,0,0,0,0,0,0,0,0,0,0,0,3273800
1019,Evil Governer,NPC13.png,NPC13,14,2,99,112202001,0,4415125,339070,374270,12378,14812,14812,33800,44134,100,35961,39230,0,0,0,0,0,0,0,0,0,0,0,3462500
1020,Plague Knight,NPC17.png,NPC17,14,3,100,112801001,0,5101500,414580,421090,14300,15228,15228,35800,45794,100,38249,41726,0,0,0,0,0,0,0,400,0,0,0,3651200
1021,War Knight,NPC1.png,NPC1,14,2,101,110002001|114002001,0,4728625,386558,424958,13257,15367,15367,36160,46233,110,38775,42300,0,0,0,0,0,0,0,400,0,0,0,4674100
1022,Witch Hunter,NPC7.png,NPC7,14,2,102,114002001|110002001,0,4885375,401917,440317,13606,15880,15880,37120,47631,110,40425,44100,0,0,0,0,0,0,0,400,0,0,0,4874600
