dungeon_id,boss_monster_npc_id_list,normal_monster_npc_id_list,bg_path,name,map_id,reward
1,10002|10001,1001|1002|1003,TianZhaoShenShe-Combined,1-1,1,
2,10004|10003,1001|1002|1003,TianZhaoShenShe-Combined,1-2,1,
3,10006|10005,1004|1005|1006,TianZhaoShenShe-Combined,1-3,1,
4,10008|10007,1004|1005|1006,TianZhaoShenShe-Combined,1-4,1,
5,10010|10009,1007|1008|1009|1010,TianZhaoShenShe-Combined,1-5,1,1:2:100
6,10012|10011,1007|1008|1009|1010,TianZhaoShenShe-Combined,1-6,1,
7,10014|10013,1011|1012|1013|1014,TianZhaoShenShe-Combined,1-7,1,
8,10016|10015,1011|1012|1013|1014,TianZhaoShenShe-Combined,1-8,1,
9,10018|10017,1015|1016|1017|1018,TianZhaoShenShe-Combined,1-9,1,
10,10020|10019,1015|1016|1017|1018,TianZhaoShenShe-Combined,1-10,1,5:3000214:200
11,10022|10021,1019|1020|1021|1022,TianZhaoShenShe-Combined,1-11,1,
12,10024|10023,1019|1020|1021|1022,TianZhaoShenShe-Combined,1-12,1,
13,10026|10025,1023|1024|1025|1026,TianZhaoShenShe-Combined,1-13,1,
14,10028|10027,1023|1024|1025|1026,TianZhaoShenShe-Combined,1-14,1,
15,10030|10029,1027|1028|1029|1030,TianZhaoShenShe-Combined,1-15,1,1:2:100
16,10032|10031,1027|1028|1029|1030,TianZhaoShenShe-Combined,1-16,1,
17,10034|10033,1031|1032|1033|1034,TianZhaoShenShe-Combined,1-17,1,
18,10036|10035,1031|1032|1033|1034,TianZhaoShenShe-Combined,1-18,1,
19,10038|10037,1035|1036,TianZhaoShenShe-Combined,1-19,1,
20,10040|10039,1035|1036,TianZhaoShenShe-Combined,1-20,1,5:3000214:300
21,10042|10041,1037|1038,TianZhaoShenShe-Combined,1-21,1,
22,10044|10043,1037|1038,TianZhaoShenShe-Combined,1-22,1,
23,10046|10045,1039|1040,TianZhaoShenShe-Combined,1-23,1,
24,10048|10047,1039|1040,TianZhaoShenShe-Combined,1-24,1,
25,10050|10049,1041|1042,TianZhaoShenShe-Combined,1-25,1,1:2:200
26,10052|10051,1041|1042,TianZhaoShenShe-Combined,1-26,1,
27,10054|10053,1043|1044,TianZhaoShenShe-Combined,1-27,1,
28,10056|10055,1043|1044,TianZhaoShenShe-Combined,1-28,1,
29,10058|10057,1045|1046,TianZhaoShenShe-Combined,1-29,1,
30,10060|10059,1045|1046,TianZhaoShenShe-Combined,1-30,1,5:3000027:1
31,10062|10061,1047|1048,YueDuShenShe,2-1,2,
32,10064|10063,1047|1048,YueDuShenShe,2-2,2,
33,10066|10065,1049|1050,YueDuShenShe,2-3,2,
34,10068|10067,1049|1050,YueDuShenShe,2-4,2,
35,10070|10069,1051|1052,YueDuShenShe,2-5,2,1:2:100
36,10072|10071,1051|1052,YueDuShenShe,2-6,2,
37,10074|10073,1053|1054,YueDuShenShe,2-7,2,
38,10076|10075,1053|1054,YueDuShenShe,2-8,2,
39,10078|10077,1055|1056,YueDuShenShe,2-9,2,
40,10080|10079,1055|1056,YueDuShenShe,2-10,2,5:3000214:200
41,10082|10081,1057|1058,YueDuShenShe,2-11,2,
42,10084|10083,1057|1058,YueDuShenShe,2-12,2,
43,10086|10085,1059|1060,YueDuShenShe,2-13,2,
44,10088|10087,1059|1060,YueDuShenShe,2-14,2,
45,10090|10089,1061|1062,YueDuShenShe,2-15,2,1:2:100
46,10092|10091,1061|1062,YueDuShenShe,2-16,2,
47,10094|10093,1063|1064,YueDuShenShe,2-17,2,
48,10096|10095,1063|1064,YueDuShenShe,2-18,2,
49,10098|10097,1065|1066,YueDuShenShe,2-19,2,
50,10100|10099,1065|1066,YueDuShenShe,2-20,2,5:3000214:300
51,10102|10101,1067|1068,YueDuShenShe,2-21,2,
52,10104|10103,1067|1068,YueDuShenShe,2-22,2,
53,10106|10105,1069|1070,YueDuShenShe,2-23,2,
54,10108|10107,1069|1070,YueDuShenShe,2-24,2,
55,10110|10109,1071|1072,YueDuShenShe,2-25,2,1:2:200
56,10112|10111,1071|1072,YueDuShenShe,2-26,2,
57,10114|10113,1073|1074,YueDuShenShe,2-27,2,
58,10116|10115,1073|1074,YueDuShenShe,2-28,2,
59,10118|10117,1075|1076,YueDuShenShe,2-29,2,
60,10120|10119,1075|1076,YueDuShenShe,2-30,2,5:3000027:1
61,10122|10121,1077|1078,YouAnMiGong,3-1,3,
62,10124|10123,1077|1078,YouAnMiGong,3-2,3,
63,10126|10125,1077|1078,YouAnMiGong,3-3,3,
64,10128|10127,1077|1078,YouAnMiGong,3-4,3,
65,10130|10129,1079|1080,YouAnMiGong,3-5,3,1:2:100
66,10132|10131,1079|1080,YouAnMiGong,3-6,3,
67,10134|10133,1079|1080,YouAnMiGong,3-7,3,
68,10136|10135,1079|1080,YouAnMiGong,3-8,3,
69,10138|10137,1081|1082,YouAnMiGong,3-9,3,
70,10140|10139,1081|1082,YouAnMiGong,3-10,3,5:3000214:200
71,10142|10141,1081|1082,YouAnMiGong,3-11,3,
72,10144|10143,1081|1082,YouAnMiGong,3-12,3,
73,10146|10145,1083|1084,YouAnMiGong,3-13,3,
74,10148|10147,1083|1084,YouAnMiGong,3-14,3,
75,10150|10149,1083|1084,YouAnMiGong,3-15,3,1:2:100
76,10152|10151,1083|1084,YouAnMiGong,3-16,3,
77,10154|10153,1085|1086,YouAnMiGong,3-17,3,
78,10156|10155,1085|1086,YouAnMiGong,3-18,3,
79,10158|10157,1085|1086,YouAnMiGong,3-19,3,
80,10160|10159,1085|1086,YouAnMiGong,3-20,3,5:3000214:300
81,10162|10161,1087|1088,YouAnMiGong,3-21,3,
82,10164|10163,1087|1088,YouAnMiGong,3-22,3,
83,10166|10165,1087|1088,YouAnMiGong,3-23,3,
84,10168|10167,1087|1088,YouAnMiGong,3-24,3,
85,10170|10169,1089|1090,YouAnMiGong,3-25,3,1:2:200
86,10172|10171,1089|1090,YouAnMiGong,3-26,3,
87,10174|10173,1089|1090,YouAnMiGong,3-27,3,
88,10176|10175,1089|1090,YouAnMiGong,3-28,3,
89,10178|10177,1091|1092,YouAnMiGong,3-29,3,
90,10180|10179,1091|1092,YouAnMiGong,3-30,3,5:3000027:1
91,10182|10181,1091|1092,PanDuoLaShenMiao,4-1,4,
92,10184|10183,1091|1092,PanDuoLaShenMiao,4-2,4,
93,10186|10185,1093|1094,PanDuoLaShenMiao,4-3,4,
94,10188|10187,1093|1094,PanDuoLaShenMiao,4-4,4,
95,10190|10189,1093|1094,PanDuoLaShenMiao,4-5,4,1:2:100
96,10192|10191,1093|1094,PanDuoLaShenMiao,4-6,4,
97,10194|10193,1095|1096,PanDuoLaShenMiao,4-7,4,
98,10196|10195,1095|1096,PanDuoLaShenMiao,4-8,4,
99,10198|10197,1095|1096,PanDuoLaShenMiao,4-9,4,
100,10200|10199,1095|1096,PanDuoLaShenMiao,4-10,4,5:3000214:200
101,10202|10201,1097|1098,PanDuoLaShenMiao,4-11,4,
102,10204|10203,1097|1098,PanDuoLaShenMiao,4-12,4,
103,10206|10205,1097|1098,PanDuoLaShenMiao,4-13,4,
104,10208|10207,1097|1098,PanDuoLaShenMiao,4-14,4,
105,10210|10209,1097|1098,PanDuoLaShenMiao,4-15,4,1:2:100
106,10212|10211,1097|1098,PanDuoLaShenMiao,4-16,4,
107,10214|10213,1099|1100,PanDuoLaShenMiao,4-17,4,
108,10216|10215,1099|1100,PanDuoLaShenMiao,4-18,4,
109,10218|10217,1099|1100,PanDuoLaShenMiao,4-19,4,
110,10220|10219,1099|1100,PanDuoLaShenMiao,4-20,4,5:3000214:300
111,10222|10221,1099|1100,PanDuoLaShenMiao,4-21,4,
112,10224|10223,1099|1100,PanDuoLaShenMiao,4-22,4,
113,10226|10225,1101|1102,PanDuoLaShenMiao,4-23,4,
114,10228|10227,1101|1102,PanDuoLaShenMiao,4-24,4,
115,10230|10229,1101|1102,PanDuoLaShenMiao,4-25,4,1:2:200
116,10232|10231,1101|1102,PanDuoLaShenMiao,4-26,4,
117,10234|10233,1101|1102,PanDuoLaShenMiao,4-27,4,
118,10236|10235,1101|1102,PanDuoLaShenMiao,4-28,4,
119,10238|10237,1103|1104,PanDuoLaShenMiao,4-29,4,
120,10240|10239,1103|1104,PanDuoLaShenMiao,4-30,4,5:3000027:1
121,10242|10241,1103|1104,DaJinZiTa,5-1,5,
122,10244|10243,1103|1104,DaJinZiTa,5-2,5,
123,10246|10245,1103|1104,DaJinZiTa,5-3,5,
124,10248|10247,1103|1104,DaJinZiTa,5-4,5,
125,10250|10249,1105|1106,DaJinZiTa,5-5,5,1:2:100
126,10252|10251,1105|1106,DaJinZiTa,5-6,5,
127,10254|10253,1105|1106,DaJinZiTa,5-7,5,
128,10256|10255,1105|1106,DaJinZiTa,5-8,5,
129,10258|10257,1105|1106,DaJinZiTa,5-9,5,
130,10260|10259,1105|1106,DaJinZiTa,5-10,5,5:3000214:200
131,10262|10261,1107|1108,DaJinZiTa,5-11,5,
132,10264|10263,1107|1108,DaJinZiTa,5-12,5,
133,10266|10265,1107|1108,DaJinZiTa,5-13,5,
134,10268|10267,1107|1108,DaJinZiTa,5-14,5,
135,10270|10269,1107|1108,DaJinZiTa,5-15,5,1:2:100
136,10272|10271,1107|1108,DaJinZiTa,5-16,5,
137,10274|10273,1109|1110,DaJinZiTa,5-17,5,
138,10276|10275,1109|1110,DaJinZiTa,5-18,5,
139,10278|10277,1109|1110,DaJinZiTa,5-19,5,
140,10280|10279,1109|1110,DaJinZiTa,5-20,5,5:3000214:300
141,10282|10281,1109|1110,DaJinZiTa,5-21,5,
142,10284|10283,1109|1110,DaJinZiTa,5-22,5,
143,10286|10285,1111|1112,DaJinZiTa,5-23,5,
144,10288|10287,1111|1112,DaJinZiTa,5-24,5,
145,10290|10289,1111|1112,DaJinZiTa,5-25,5,1:2:200
146,10292|10291,1111|1112,DaJinZiTa,5-26,5,
147,10294|10293,1111|1112,DaJinZiTa,5-27,5,
148,10296|10295,1111|1112,DaJinZiTa,5-28,5,
149,10298|10297,1113|1114,DaJinZiTa,5-29,5,
150,10300|10299,1113|1114,DaJinZiTa,5-30,5,27:1001:1
151,10302|10301,1113|1114,MuShiYongDao,6-1,6,
152,10304|10303,1113|1114,MuShiYongDao,6-2,6,
153,10306|10305,1113|1114,MuShiYongDao,6-3,6,
154,10308|10307,1113|1114,MuShiYongDao,6-4,6,
155,10310|10309,1115|1116,MuShiYongDao,6-5,6,1:2:100
156,10312|10311,1115|1116,MuShiYongDao,6-6,6,
157,10314|10313,1115|1116,MuShiYongDao,6-7,6,
158,10316|10315,1115|1116,MuShiYongDao,6-8,6,
159,10318|10317,1115|1116,MuShiYongDao,6-9,6,
160,10320|10319,1115|1116,MuShiYongDao,6-10,6,5:3000214:200
161,10322|10321,1117|1118,MuShiYongDao,6-11,6,
162,10324|10323,1117|1118,MuShiYongDao,6-12,6,
163,10326|10325,1117|1118,MuShiYongDao,6-13,6,
164,10328|10327,1117|1118,MuShiYongDao,6-14,6,
165,10330|10329,1117|1118,MuShiYongDao,6-15,6,1:2:100
166,10332|10331,1117|1118,MuShiYongDao,6-16,6,
167,10334|10333,1119|1120,MuShiYongDao,6-17,6,
168,10336|10335,1119|1120,MuShiYongDao,6-18,6,
169,10338|10337,1119|1120,MuShiYongDao,6-19,6,
170,10340|10339,1119|1120,MuShiYongDao,6-20,6,5:3000214:300
171,10342|10341,1119|1120,MuShiYongDao,6-21,6,
172,10344|10343,1119|1120,MuShiYongDao,6-22,6,
173,10346|10345,1121|1122,MuShiYongDao,6-23,6,
174,10348|10347,1121|1122,MuShiYongDao,6-24,6,
175,10350|10349,1121|1122,MuShiYongDao,6-25,6,1:2:200
176,10352|10351,1121|1122,MuShiYongDao,6-26,6,
177,10354|10353,1121|1122,MuShiYongDao,6-27,6,
178,10356|10355,1121|1122,MuShiYongDao,6-28,6,
179,10358|10357,1123|1124,MuShiYongDao,6-29,6,
180,10360|10359,1123|1124,MuShiYongDao,6-30,6,5:3000027:1
181,10362|10361,1123|1124,JinBiMuShi,7-1,7,
182,10364|10363,1123|1124,JinBiMuShi,7-2,7,
183,10366|10365,1123|1124,JinBiMuShi,7-3,7,
184,10368|10367,1123|1124,JinBiMuShi,7-4,7,
185,10370|10369,1125|1126,JinBiMuShi,7-5,7,1:2:100
186,10372|10371,1125|1126,JinBiMuShi,7-6,7,
187,10374|10373,1125|1126,JinBiMuShi,7-7,7,
188,10376|10375,1125|1126,JinBiMuShi,7-8,7,
189,10378|10377,1125|1126,JinBiMuShi,7-9,7,
190,10380|10379,1125|1126,JinBiMuShi,7-10,7,5:3000214:200
191,10382|10381,1127|1128,JinBiMuShi,7-11,7,
192,10384|10383,1127|1128,JinBiMuShi,7-12,7,
193,10386|10385,1127|1128,JinBiMuShi,7-13,7,
194,10388|10387,1127|1128,JinBiMuShi,7-14,7,
195,10390|10389,1127|1128,JinBiMuShi,7-15,7,1:2:100
196,10392|10391,1127|1128,JinBiMuShi,7-16,7,
197,10394|10393,1129|1130,JinBiMuShi,7-17,7,
198,10396|10395,1129|1130,JinBiMuShi,7-18,7,
199,10398|10397,1129|1130,JinBiMuShi,7-19,7,
200,10400|10399,1129|1130,JinBiMuShi,7-20,7,5:3000214:300
201,10402|10401,1129|1130,JinBiMuShi,7-21,7,
202,10404|10403,1129|1130,JinBiMuShi,7-22,7,
203,10406|10405,1131|1132,JinBiMuShi,7-23,7,
204,10408|10407,1131|1132,JinBiMuShi,7-24,7,
205,10410|10409,1131|1132,JinBiMuShi,7-25,7,1:2:200
206,10412|10411,1131|1132,JinBiMuShi,7-26,7,
207,10414|10413,1131|1132,JinBiMuShi,7-27,7,
208,10416|10415,1131|1132,JinBiMuShi,7-28,7,
209,10418|10417,1133|1134,JinBiMuShi,7-29,7,
210,10420|10419,1133|1134,JinBiMuShi,7-30,7,5:3000027:1
211,10422|10421,1133|1134,RanShaoLianYu,8-1,8,
212,10424|10423,1133|1134,RanShaoLianYu,8-2,8,
213,10426|10425,1133|1134,RanShaoLianYu,8-3,8,
214,10428|10427,1133|1134,RanShaoLianYu,8-4,8,
215,10430|10429,1135|1136,RanShaoLianYu,8-5,8,1:2:100
216,10432|10431,1135|1136,RanShaoLianYu,8-6,8,
217,10434|10433,1135|1136,RanShaoLianYu,8-7,8,
218,10436|10435,1135|1136,RanShaoLianYu,8-8,8,
219,10438|10437,1135|1136,RanShaoLianYu,8-9,8,
220,10440|10439,1135|1136,RanShaoLianYu,8-10,8,5:3000214:200
221,10442|10441,1137|1138,RanShaoLianYu,8-11,8,
222,10444|10443,1137|1138,RanShaoLianYu,8-12,8,
223,10446|10445,1137|1138,RanShaoLianYu,8-13,8,
224,10448|10447,1137|1138,RanShaoLianYu,8-14,8,
225,10450|10449,1137|1138,RanShaoLianYu,8-15,8,1:2:100
226,10452|10451,1137|1138,RanShaoLianYu,8-16,8,
227,10454|10453,1139|1140,RanShaoLianYu,8-17,8,
228,10456|10455,1139|1140,RanShaoLianYu,8-18,8,
229,10458|10457,1139|1140,RanShaoLianYu,8-19,8,
230,10460|10459,1139|1140,RanShaoLianYu,8-20,8,5:3000214:300
231,10462|10461,1139|1140,RanShaoLianYu,8-21,8,
232,10464|10463,1139|1140,RanShaoLianYu,8-22,8,
233,10466|10465,1141|1142,RanShaoLianYu,8-23,8,
234,10468|10467,1141|1142,RanShaoLianYu,8-24,8,
235,10470|10469,1141|1142,RanShaoLianYu,8-25,8,1:2:200
236,10472|10471,1141|1142,RanShaoLianYu,8-26,8,
237,10474|10473,1141|1142,RanShaoLianYu,8-27,8,
238,10476|10475,1141|1142,RanShaoLianYu,8-28,8,
239,10478|10477,1143|1144,RanShaoLianYu,8-29,8,
240,10480|10479,1143|1144,RanShaoLianYu,8-30,8,5:3000027:1
241,10482|10481,1143|1144,XueChengBao,9-1,9,
242,10484|10483,1143|1144,XueChengBao,9-2,9,
243,10486|10485,1143|1144,XueChengBao,9-3,9,
244,10488|10487,1143|1144,XueChengBao,9-4,9,
245,10490|10489,1145|1146,XueChengBao,9-5,9,1:2:100
246,10492|10491,1145|1146,XueChengBao,9-6,9,
247,10494|10493,1145|1146,XueChengBao,9-7,9,
248,10496|10495,1145|1146,XueChengBao,9-8,9,
249,10498|10497,1145|1146,XueChengBao,9-9,9,
250,10500|10499,1145|1146,XueChengBao,9-10,9,5:3000214:200
251,10502|10501,1147|1148,XueChengBao,9-11,9,
252,10504|10503,1147|1148,XueChengBao,9-12,9,
253,10506|10505,1147|1148,XueChengBao,9-13,9,
254,10508|10507,1147|1148,XueChengBao,9-14,9,
255,10510|10509,1147|1148,XueChengBao,9-15,9,1:2:100
256,10512|10511,1147|1148,XueChengBao,9-16,9,
257,10514|10513,1149|1150,XueChengBao,9-17,9,
258,10516|10515,1149|1150,XueChengBao,9-18,9,
259,10518|10517,1149|1150,XueChengBao,9-19,9,
260,10520|10519,1149|1150,XueChengBao,9-20,9,5:3000214:300
261,10522|10521,1149|1150,XueChengBao,9-21,9,
262,10524|10523,1149|1150,XueChengBao,9-22,9,
263,10526|10525,1151|1152,XueChengBao,9-23,9,
264,10528|10527,1151|1152,XueChengBao,9-24,9,
265,10530|10529,1151|1152,XueChengBao,9-25,9,1:2:200
266,10532|10531,1151|1152,XueChengBao,9-26,9,
267,10534|10533,1151|1152,XueChengBao,9-27,9,
268,10536|10535,1151|1152,XueChengBao,9-28,9,
269,10538|10537,1153|1154,XueChengBao,9-29,9,
