task_id,task_type,task_condition,task_value,reward,name,content,content_param
12000001,12,2,1,10:100|5:3000004:10|1:2:100,Login for a total of 1 day,Login for a total of 1 day,
12000002,12,2,2,6:2023|5:3000004:10|1:2:100,Login for a total of 2 days,Login for a total of 2 days,
12000003,12,2,3,10:200|5:3000004:10|1:2:100,Login for a total of 3 days,Login for a total of 3 days,
12000004,12,2,4,1:4:500|5:3000004:10|1:2:200,Login for a total of 4 days,Login for a total of 4 days,
12000005,12,2,5,6:2033|5:3000004:10|1:2:200,Login for a total of 5 days,Login for a total of 5 days,
12000006,12,2,6,5:3000008:20|5:3000004:10|1:2:200,Login for a total of 6 days,Login for a total of 6 days,
12000007,12,2,7,10:200|6:2015|1:2:300,Login for 7 days,Login for 7 days,
12000008,12,2,8,1:2:100|5:3000079:5|5:3000006:100,Login for a total of 8 days,Login for a total of 8 days,
12000009,12,2,9,1:2:100|5:3000008:5|5:2000019:3,Login for a total of 9 days,Login for a total of 9 days,
12000010,12,2,10,1:2:200|5:3000079:5|5:2000018:3,Login for a total of 10 days,Login for a total of 10 days,
12000011,12,2,11,1:2:200|5:3000008:10|5:2000022:3,Login for a total of 11 days,Login for a total of 11 days,
12000012,12,2,12,1:2:400|5:3000079:5|5:2000006:2,Login for a total of 12 days,Login for a total of 12 days,
12000013,12,2,13,1:2:400|5:3000008:20|5:2000007:2,Login for a total of 13 days,Login for a total of 13 days,
12000014,12,2,14,1:2:500|5:3000079:10|6:2002:1,Login for a total of 14 days,Login for a total of 14 days,
