npc_name,npc_type,avatar_path,option_id
C1-M1-G1-n1,1,2076_MR.jpg,1
C1-M1-G1-n2,1,2078_MR.jpg,2
C1-M1-G1-n3,1,2047_MR.jpg,3
C1-M1-G1-n4,1,2049_MR.jpg,4
C1-M1-G1-n5,1,2077_UR_PLUS.jpg,5
C1-M1-G1-n7,1,2055_MR.jpg,6
C1-M1-G1-n8,1,2056_MR.jpg,7
C2-M1-G1-n1,1,2049_MR.jpg,8
C2-M1-G1-n2,1,2065_MR.jpg,9
C2-M1-G1-n3,1,2087_MR.jpg,10
C2-M1-G1-n4,1,2050_MR.jpg,11
C2-M1-G1-n5,1,2078_MR.jpg,12
C2-M1-G1-n6,1,2039_CSHS.jpg,13
C2-M1-G1-n7,1,2060_MR.jpg,14
C3-M1-G1-n1,1,2078_MR.jpg,15
C3-M1-G1-n2,1,2074_MR.jpg,16
C3-M1-G1-n3,1,2087_MR.jpg,17
C3-M1-G1-n4,1,2081_MR.jpg,18
C3-M1-G1-n6,1,2050_MR.jpg,19
C3-M1-G1-n7,1,2086_MR.jpg,20
C3-M1-G1-n8,1,2063_MR.jpg,21
C4-M1-G1-n1,1,2083_MR.jpg,22
C4-M1-G1-n2,1,2047_CSHS.jpg,23
C4-M1-G1-n3,1,2039_MR.jpg,24
C4-M1-G1-n4,1,2075_MR.jpg,25
C4-M1-G1-n5,1,2078_MR.jpg,26
C4-M1-G1-n6,1,2053_MR.jpg,27
C4-M1-G1-n7,1,2057_MR.jpg,28
C5-M1-G1-n1,1,2069_MR.jpg,29
C5-M1-G1-n2,1,2087_MR.jpg,30
C5-M1-G1-n3,1,2060_MR.jpg,31
C5-M1-G1-n4,1,2037_MR.jpg,32
C5-M1-G1-n5,1,2032_CZ.jpg,33
C5-M1-G1-n6,1,2068_MR.jpg,34
C5-M1-G1-n7,1,2039_CSHS.jpg,35
C6-M1-G1-n1,1,2062.jpg,36
C6-M1-G1-n2,1,2056_MR.jpg,37
C6-M1-G1-n3,1,2058.jpg,38
C6-M1-G1-n4,1,2037_CSHS.jpg,39
C6-M1-G1-n5,1,2051_MR.jpg,40
C6-M1-G1-n6,1,2039_CSHS.jpg,41
C6-M1-G1-n7,1,2049_CSHS.jpg,42
C7-M1-G1-n1,1,2052.jpg,43
C7-M1-G1-n2,1,2084_MR.jpg,44
C7-M1-G1-n3,1,2051_MR.jpg,45
C7-M1-G1-n4,1,2081_MR.jpg,46
C7-M1-G1-n5,1,2053_CSHS.jpg,47
C7-M1-G1-n6,1,2037_CSHS.jpg,48
C7-M1-G1-n7,1,2047_CSHS.jpg,49
