cid,name,build_id,desc,att_type,add_value[1],add_value[2],add_value[3],add_value[4],add_value[5]
1,晶矿大师,1,晶石生产速度,0,1:5,21:10,41:15,61:20,81:25
3,火焰亲和,2,精华生产速度,0,1:5,21:10,41:15,61:20,81:25
5,神核祷文,3,神核生产速度,0,1:5,21:10,41:15,61:20,81:25
2,钻石巧匠,4,钻石生产速度,0,1:5,21:10,41:15,61:20,81:25
4,宝石炼金术,5,宝石生产速度,0,1:5,21:10,41:15,61:20,81:25
6,宝石炼金术,5,宝石生产速度,0,1:5,21:10,41:15,61:20,81:25
7,钻石巧匠,4,钻石生产速度,0,1:5,21:10,41:15,61:20,81:25
8,灵动之源,3,神核生产速度,2,1:5|1:2:17:20,21:10|21:2:17:40,41:15|41:2:17:60,61:20|61:2:17:80,81:25|81:2:17:100
9,生命之源,1,晶石生产速度,1,1:5|1:2:1:60000,21:10|21:2:1:120000,41:15|41:2:1:180000,61:20|61:2:1:240000,81:25|81:2:1:300000
10,坚毅之源,5,宝石生产速度,2,1:5|1:2:5:20,21:10|21:2:5:40,41:15|41:2:5:60,61:20|61:2:5:80,81:25|81:2:5:100
11,愤怒之源,2,精华生产速度,1,1:5|1:2:3:6000,21:10|21:2:3:12000,41:15|41:2:3:18000,61:20|61:2:3:24000,81:25|81:2:3:30000
12,破灭之爪,6,试炼晶石生产速度,1,1:5|1:3:21:200,21:10|21:3:21:400,41:15|41:3:21:600,61:20|61:3:21:800,81:25|81:3:21:1000
13,抑魔之鳞,2,精华生产速度,2,1:5|1:2:7:20,21:10|21:2:7:40,41:15|41:2:7:60,61:20|61:2:7:80,81:25|81:2:7:100
14,刚毅之鳞,3,神核生产速度,2,1:5|1:2:6:20,21:10|21:2:6:40,41:15|41:2:6:60,61:20|61:2:6:80,81:25|81:2:6:100
15,试炼使者,6,试炼晶石生产速度,0,1:5,21:10,41:15,61:20,81:25
16,星辰护盾,4,钻石生产速度,2,1:5|1:2:5:20,21:10|21:2:5:40,41:15|41:2:5:60,61:20|61:2:5:80,81:25|81:2:5:100
17,太阳祭司,1,晶石生产速度,1,1:5|1:2:1:60000,21:10|21:2:1:120000,41:15|41:2:1:180000,61:20|61:2:1:240000,81:25|81:2:1:300000
18,勇气之喙,6,试炼晶石生产速度,2,1:5|1:2:17:20,21:10|21:2:17:40,41:15|41:2:17:60,61:20|61:2:17:80,81:25|81:2:17:100
