pos,consume_goods_count,build_level
1,1000,1
2,30000,3
3,60000,6
4,100000,9
5,140000,12
6,170000,15
7,180000,18
8,190000,21
9,200000,24
10,210000,27
11,250000,30
12,300000,33
13,350000,36
14,400000,39
15,450000,42
16,500000,45
17,550000,48
18,600000,51
19,650000,54
20,700000,57
21,750000,60
22,900000,60
23,1000000,60
24,1000000,60
25,1000000,60
26,1000000,60
27,1000000,60
28,1000000,60
29,1000000,60
30,1000000,60
31,1000000,60
32,1000000,60
33,1000000,60
34,1000000,60
35,1000000,60
36,1000000,60
37,1000000,60
38,1000000,60
39,1000000,60
40,1000000,60
41,1000000,60
42,1000000,60
43,1000000,60
44,1000000,60
45,1000000,60
46,1000000,60
47,1000000,60
48,1000000,60
49,1000000,60
50,1000000,60
