dialog_id,next_dialog_id,switch_id,bg,bgm,skippable,character_spine,character_review_spine,character_position,character_name,dialog,voice,text_anchor,delay
20101,20102,,GuideVideo1,,1,,,0,Me,呼……呼……怎么到处都是怪物，世界末日了么？,,0,18
20102,-1,,,,1,,,0,Me,呃……被怪物咬伤的地方越来越痛了……,,0,0
20201,20202,,ShouErQingDian,,1,LLS2,HMDE0,2,Lucifer,找到你啦！没想到这次的目标竟然是个人类高中生。,,0,0
20202,20203,,,,1,USER_MAIN_CZ,HL0,1,Me,你是来救我离开这里的吗？,,0,0
20203,-1,,,,1,LLS2,HMDE0,2,Lucifer,非常遗憾，小可爱，我是来带你下地狱的。,,0,0
20301,20303,,,,1,USER_MAIN_CZ,HL0,1,Me,啊！你看看身后是谁！,,0,0
20302,-1,,,,1,LLS2,HMDE0,2,Lucifer,你是不是想趁我回头后开溜？你觉得我会上这种当么？,,0,0
20401,20403,,,,1,USER_MAIN_CZ,HL0,1,Me,救——命——啊！,,0,0
20402,-1,,,,1,LLS2,HMDE0,2,Lucifer,尽情享受恐惧吧，你叫破喉咙也没人会来救你的。,,0,0
20501,20502,,ShouErQingDian,,1,LLS2,HMDE0,2,Lucifer,什么人？！我可不喜欢这么粗暴的问候方式……,,0,1
20502,20503,,,,1,MJL2,HMDE0,1,Michael,躲得不错嘛，路西法，你可真是不好找。,,0,0
20503,20504,,,,1,LLS2,HMDE0,2,Lucifer,原来是米迦勒和万神殿的各位啊，真是麻烦的家伙们……,,0,0
20504,-1,,ShouErQingDian,,1,HSZR2,HMDE0,1,Zhu Rong,呵……等你被送回地狱就不会觉得我们麻烦了！看招！,,0,0
20601,-1,,ShouErQingDian,,1,LLS2,HMDE0,2,Lucifer,喔哟哟……看来诸位神力恢复得挺好，今天就不陪各位玩了。,,0,0
20701,20702,,ShouErQingDian,,1,WL_CZ,HFSTS0,2,Gabriel,逃得够快，看来没取回神力前，路西法很难有所作为。,,0,1
20702,20703,,,,1,NT2,HMDE0,2,Nuit,啊啦，米迦勒阁下，这个可爱的女孩子要怎么办？,,0,0
20703,20704,,,,1,MJL2,MJL0,1,Michael,我没看出这个凡人有啥特别的……你确定路西法来找的是她？,,0,0
20704,20705,,,,1,PDL2,MJL0,2,Pandora,没错，命运是不会骗人的。,,0,0
20705,20706,,,,1,MJL2,MJL0,1,Michael,既然如此，那一切就交给命运吧……,,0,0
20706,-1,,,,1,USER_MAIN_CZ,HL0,2,Me,等等！您为什么要把长枪对着我！您不是来救我的吗？！,,0,0
20801,20901,,{black},,0,,,0,,这是哪……胸口好痛……我还活着么……,,0,0
20901,20902,,GuideVideo2,,0,,,0,,“命运的齿轮不断轮回，命运的门扉等待开启……”,,0,6
20902,-1,,,,0,,,0,,“醒来吧，你的使命已经悄然降临……”,,0,0
21001,21002,,ShouErQingDian,,1,WL_CZ,HFSTS0,2,Gabriel,哟，你醒了？看来你今天运气挺不错。,,0,0
21002,21003,,,,1,USER_MAIN_CZ,HL0,1,Me,啊！你是刚才把我砍倒的那个米迦勒一伙的！,,0,0
21003,21004,,,,1,WL_CZ,HFSTS0,2,Gabriel,别慌，米迦勒已经走了，现在站你面前的巴里可比她温柔得多。,,0,0
21004,21005,,,,1,USER_MAIN_CZ,HL0,1,Me,真是不敢相信……我竟然会被天使攻击……,,0,0
21005,-1,,,,1,WL_CZ,HFSTS0,2,Gabriel,至少你现在还活着，但当恶魔听见你抱怨后，我就不敢保证了。,,0,0
21101,21102,,,,1,USER_MAIN_CZ,HL0,1,Me,呃……那我们是不是该溜之大吉？,,0,0
21102,21103,,,,1,WL_CZ,HFSTS0,2,Gabriel,我觉得……你应该跑不过用翅膀飞的家伙。,,0,0
21103,21104,,,,1,WL_CZ,HFSTS0,2,Gabriel,不过你跟我念天使召唤咒文，天使大人或许就会来救你了。,,0,0
21104,21105,,,,1,USER_MAIN_CZ,HL0,1,Me,我打赌，这是我这辈子听过的最荒唐的事……,,0,0
21105,21106,,,,1,WL_CZ,HFSTS0,2,Gabriel,别犹豫了，来吧，“吾以众神的名义，召唤异界之使者……”,,0,0
21106,-1,,,,1,USER_MAIN_CZ,HL0,1,Me,吾以众神的……等等！后面那句是什么？！你别念这么快！,,0,0
