id,hero_cid,signal,need_other_hero_count,skill_id
1,1001,7,5,999931001
2,1001,7,5,999932001
3,1001,7,5,999933001
4,2037,5,5,999911001
5,2037,5,5,999912001
6,2037,5,5,999913001
7,2039,8,5,999931001
8,2039,8,5,999932001
9,2039,8,5,999933001
10,2042,9,5,999951001
11,2042,9,5,999952001
12,2042,9,5,999953001
13,2047,9,5,999941001
14,2047,9,5,999942001
15,2047,9,5,999943001
16,2049,4,5,999911001
17,2049,4,5,999912001
18,2049,4,5,999913001
19,2050,3,5,999951001
20,2050,3,5,999952001
21,2050,3,5,999953001
22,2051,1,5,999921001
23,2051,1,5,999922001
24,2051,1,5,999923001
25,2053,4,5,999911001
26,2053,4,5,999912001
27,2053,4,5,999913001
28,2054,8,5,999941001
29,2054,8,5,999942001
30,2054,8,5,999943001
31,2055,2,5,999951001
32,2055,2,5,999952001
33,2055,2,5,999953001
34,2056,4,5,999911001
35,2056,4,5,999912001
36,2056,4,5,999913001
37,2057,6,5,999911001
38,2057,6,5,999912001
39,2057,6,5,999913001
40,2060,5,5,999911001
41,2060,5,5,999912001
42,2060,5,5,999913001
43,2063,8,5,999931001
44,2063,8,5,999932001
45,2063,8,5,999933001
46,2065,5,5,999911001
47,2065,5,5,999912001
48,2065,5,5,999913001
49,2067,6,5,999911001
50,2067,6,5,999912001
51,2067,6,5,999913001
52,2068,7,5,999931001
53,2068,7,5,999932001
54,2068,7,5,999933001
55,2069,4,5,999911001
56,2069,4,5,999912001
57,2069,4,5,999913001
58,2071,9,5,999941001
59,2071,9,5,999942001
60,2071,9,5,999943001
61,2073,2,5,999951001
62,2073,2,5,999952001
63,2073,2,5,999953001
64,2074,9,5,999921001
65,2074,9,5,999922001
66,2074,9,5,999923001
67,2075,5,5,999911001
68,2075,5,5,999912001
69,2075,5,5,999913001
70,2076,4,5,999911001
71,2076,4,5,999912001
72,2076,4,5,999913001
73,2077,4,5,999911001
74,2077,4,5,999912001
75,2077,4,5,999913001
76,2078,6,5,999911001
77,2078,6,5,999912001
78,2078,6,5,999913001
79,2081,3,5,999931001
80,2081,3,5,999932001
81,2081,3,5,999933001
82,2082,2,5,999951001
83,2082,2,5,999952001
84,2082,2,5,999953001
85,2083,4,5,999911001
86,2083,4,5,999912001
87,2083,4,5,999913001
88,2084,7,5,999931001
89,2084,7,5,999932001
90,2084,7,5,999933001
91,2086,8,5,999931001
92,2086,8,5,999932001
93,2086,8,5,999933001
94,2087,6,5,999911001
95,2087,6,5,999912001
96,2087,6,5,999913001
97,2088,8,5,999931001
98,2088,8,5,999932001
99,2088,8,5,999933001
100,2090,10,5,999961001
101,2090,10,5,999962001
102,2090,10,5,999963001
103,2091,6,5,999911001
104,2091,6,5,999912001
105,2091,6,5,999913001
106,2092,1,5,999921001
107,2092,1,5,999922001
108,2092,1,5,999923001
