id,show_bg_icon,show_name,spine_x_offset,spine_y_offset,spine_scale,spine_name,open_level,spine_bg,hero_cid,active_ur_plus_can_use,active_mr_can_use,active_incarnation_can_use
101,img_loading_hl_UR_plus.png,Supreme Queen,0,0,1,HL_UR_PLUS,60,LOADING.jpg,0,0,0,0
102,img_loading_ywj_UR.png,Dimension Breaker,-66,600,0.75,YWJ_UR,0,LOADING.jpg,0,0,0,0
103,img_loading_ywj_UR_plus.png,Oceanic Reverie,-60,400,0.8,YWJ_UR_PLUS,0,Loading_01.jpg,0,0,0,0
104,img_loading_ykls_yz1.png,Swimsuit Party,-20,290,0.78,YKLS_YZ1,0,Loading_01.jpg,0,0,0,0
105,img_loading_hl_MR.png,Sacred Roses-Hera,-80,620,0.72,HL_MR,0,LOADING.jpg,2039,0,1,0
106,img_loading_qbt_UR_plus.png,Bathing Manner-Cupid,0,0,0.9,QBT_UR_PLUS,0,LOADING.jpg,2047,1,0,0
107,img_loading_qbt_MR.png,Naughty Moment - Cupid,-80,500,0.8,QBT_MR,0,LOADING.jpg,2047,0,1,0
108,img_loading_wle_UR_plus.png,Shadow Fragrance - Uriel,-150,370,0.75,WLE_UR_PLUS,0,LOADING.jpg,2084,1,0,0
109,img_loading_wle_MR.png,Passionate Night - Uriel,-30,350,0.81,WLE_MR,0,LOADING.jpg,2084,0,1,0
110,img_loading_ykls_UR_plus.png,Flawless Wings - Icarus,-50,200,0.9,YKLS_UR_PLUS,0,LOADING.jpg,2049,1,0,0
111,img_loading_ykls_MR.png,Charm of Daisy - Icarus,-80,280,0.85,YKLS_MR,0,LOADING.jpg,2049,0,1,0
112,img_loading_r_UR_plus.png,Blazing Triumph-Ra,-50,250,0.85,R_UR_PLUS,0,LOADING.jpg,2037,1,0,0
113,img_loading_r_MR.png,Nightfall Passion - Ra,-80,280,0.85,R_MR,0,LOADING.jpg,2037,0,1,0
114,img_loading_kes_UR_plus.png,Primeval Chaos-Chaos,-60,100,0.85,KES_UR_PLUS,0,LOADING.jpg,2050,1,0,0
115,img_loading_kes_MR.png,The Queen's Gambit,-80,280,0.85,KES_MR,0,LOADING.jpg,2050,0,1,0
116,img_loading_hmde_UR_plus.png,Bird of the Golden Cage - Heimdall,-70,300,0.8,HMDE_UR_PLUS,0,LOADING.jpg,2051,1,0,0
117,img_loading_hmde_MR.png,Sacred Maiden - Heimdall,-40,280,0.85,HMDE_MR,0,LOADING.jpg,2051,0,1,0
118,img_loading_bmh_UR_plus.png,Sipping Under Moon - Himiko,-60,100,0.85,BMH_UR_PLUS,0,LOADING.jpg,2053,1,0,0
119,img_loading_bmh_MR.png,Crimson Slayer - Himiko,-100,280,0.85,BMH_MR,0,LOADING.jpg,2053,0,1,0
120,img_loading_lb_UR_plus.png,Glacier Shadow - Frost Dragon,0,0,0.8,LB_UR_PLUS,0,LOADING.jpg,2055,1,0,0
121,img_loading_lb_MR.png,Frost Queen,0,300,0.82,LB_MR,0,LOADING.jpg,2055,0,1,0
122,img_loading_zrnz_UR_plus.png,Sparkling Affection - Enmusubi,0,550,0.72,ZRNZ_UR_PLUS,0,LOADING.jpg,2054,1,0,0
123,img_loading_zrnz_MR.png,Fate Stitcher - Enmusubi,0,620,0.73,ZRNZ_MR,0,LOADING.jpg,2054,0,1,0
124,img_loading_lh_UR_plus.png,Charming Party - Ember Dragon,-50,480,0.74,LH_UR_plus,0,LOADING.jpg,2056,1,0,0
125,img_loading_lh_MR.png,Terranean Queen-Ember Dragon,-80,400,0.74,LH_MR,0,LOADING.jpg,2056,0,1,0
126,img_loading_ywj_MR.png,Twilight Twins-Gemini,-50,400,0.73,YWJ_MR,0,LOADING.jpg,2065,0,1,0
127,img_loading_sqe_UR_plus.png,Floating Lotus - Sim Cheong,-100,520,0.72,SQE_UR_PLUS,0,LOADING.jpg,2063,1,0,0
128,img_loading_sqe_MR.png,Penglai Azure,-80,420,0.73,SQE_MR,0,LOADING.jpg,2063,0,1,0
