task_id,task_type,task_group,task_index,task_id_before,activity_day,task_condition,task_value,reward,user_back_active_value,content,content_param
16000201,24,0,0,0,1,2017,1,5:3000234:500,0,Unlock Reunion Merit,
16000202,24,1,1,0,1,2000,1,5:3000234:40,0,Game Login,
16000203,24,1,2,16000202,1,2000,2,5:3000234:40,0,Game Login,
16000204,24,1,3,16000203,1,2000,3,5:3000234:40,0,Game Login,
16000205,24,1,4,16000204,1,2000,4,5:3000234:40,0,Game Login,
16000206,24,1,5,16000205,1,2000,5,5:3000234:40,0,Game Login,
16000207,24,1,6,16000206,1,2000,6,5:3000234:40,0,Game Login,
16000208,24,1,7,16000207,1,2000,7,5:3000234:40,0,Game Login,
16000209,24,2,1,0,1,2005,5,5:3000234:40,0,Quick-combat {0} time(s),5
16000210,24,2,2,16000209,1,2005,10,5:3000234:40,0,Quick-combat {0} time(s),10
16000211,24,2,3,16000210,1,2005,20,5:3000234:40,0,Quick-combat {0} time(s),20
16000212,24,2,4,16000211,1,2005,30,5:3000234:40,0,Quick-combat {0} time(s),30
16000213,24,2,5,16000212,1,2005,40,5:3000234:40,0,Quick-combat {0} time(s),40
16000214,24,0,0,0,1,2016,1,5:3000234:200,0,通关当前章节,1
16000215,24,3,1,0,1,2007,2,5:3000234:40,0,Victory in Word Boss {0} times,2
16000216,24,3,2,16000215,1,2007,4,5:3000234:40,0,Victory in Word Boss {0} times,4
16000217,24,3,3,16000216,1,2007,6,5:3000234:40,0,Victory in Word Boss {0} times,6
16000218,24,4,1,0,1,2011,10,5:3000234:40,0,Summon {0} times,10
16000219,24,4,2,16000218,1,2011,20,5:3000234:40,0,Summon {0} times,20
16000220,24,4,3,16000219,1,2011,30,5:3000234:40,0,Summon {0} times,30
16000221,24,4,4,16000220,1,2011,40,5:3000234:40,0,Summon {0} times,40
16000222,24,4,5,16000221,1,2011,50,5:3000234:40,0,Summon {0} times,50
16000223,24,5,1,0,1,2012,5,5:3000234:40,0,Train any angel {0} times,5
16000224,24,5,2,16000223,1,2012,10,5:3000234:40,0,Train any angel {0} times,10
16000225,24,5,3,16000224,1,2012,20,5:3000234:40,0,Train any angel {0} times,20
16000226,24,5,4,16000225,1,2012,30,5:3000234:40,0,Train any angel {0} times,30
16000227,24,5,5,16000226,1,2012,50,5:3000234:40,0,Train any angel {0} times,50
16000228,24,6,1,0,1,2004,3,5:3000234:40,0,Raid Sky Tower {0} time(s),3
16000229,24,6,2,16000228,1,2004,6,5:3000234:40,0,Raid Sky Tower {0} time(s),6
16000230,24,6,3,16000229,1,2004,9,5:3000234:40,0,Raid Sky Tower {0} time(s),9
16000231,24,6,4,16000230,1,2004,12,5:3000234:40,0,Raid Sky Tower {0} time(s),12
16000232,24,6,5,16000231,1,2004,15,5:3000234:40,0,Raid Sky Tower {0} time(s),15
16000233,24,0,0,0,1,2010,10,5:3000234:50,0,Gear enhance {0} times,10
16000234,24,0,0,0,1,2003,5,5:3000234:50,0,Craft {0} gear or artifacts,5
16000235,24,7,1,0,1,2001,50,5:3000234:40,0,Gear smelt {0} times,50
16000236,24,7,2,16000235,1,2001,100,5:3000234:40,0,Gear smelt {0} times,50
16000237,24,7,3,16000236,1,2001,150,5:3000234:40,0,Gear smelt {0} times,50
16000238,24,0,0,0,1,2015,1,5:3000234:50,0,Secret abyss battle {0} times,1
16000239,24,0,0,0,1,2006,3,5:3000234:50,0,Purchase {0} items from the Store,3
16000240,24,8,1,0,1,2002,5,5:3000234:40,0,Arena challenge {0} times,5
16000241,24,8,2,16000240,1,2002,10,5:3000234:40,0,Arena challenge {0} times,10
16000242,24,8,3,16000241,1,2002,15,5:3000234:40,0,Arena challenge {0} times,15
16000243,24,8,4,16000242,1,2002,20,5:3000234:40,0,Arena challenge {0} times,20
16000244,24,8,5,16000243,1,2002,25,5:3000234:40,0,Arena challenge {0} times,25
16000245,24,0,6,0,1,2013,2,5:3000234:100,0,Viewed {0} ads,2
