id,job,hero,attr_type_type,attr_type,attr_value,desc
1,1,0,3,17,50,限定专属：战士
2,3,0,2,15,20,限定专属：法师
3,2,0,2,27,30,限定专属：射手
4,3,0,2,19,30,限定专属：法师
5,2,0,2,15,20,限定专属：射手
6,3,0,2,29,60,限定专属：法师
7,2,0,3,2,40,限定专属：射手
8,3,0,3,15,40,限定专属：法师
9,1,0,2,28,100,限定专属：战士
10,1,0,3,8,60,限定专属：战士
11,2,0,2,20,50,限定专属：射手
12,1,0,2,29,60,限定专属：战士
13,1,0,3,2,40,限定专属：战士
14,2,0,2,27,60,限定专属：射手
15,2,0,2,15,40,限定专属：射手
16,3,0,2,27,60,限定专属：法师
17,1,0,2,15,40,限定专属：战士
18,3,0,2,15,40,限定专属：法师
19,3,0,2,28,100,限定专属：法师
20,0,2035,2,28,200,限定专属：奥丁
21,0,2031,3,17,100,限定专属：厄瑞玻斯
22,0,2012,3,8,100,限定专属：盖亚
23,0,2025,2,29,100,限定专属：女娲
24,2,0,2,19,50,限定专属：射手
25,0,2016,2,27,100,限定专属：瓦尔基里
26,0,2032,2,27,80,限定专属：天照大神
27,0,2037,2,15,60,限定专属：拉
1001,0,1001,2,3,2000,限定专属：主角
28,0,2039,3,1,60,限定专属：赫拉
29,0,2047,2,29,100,限定专属：丘比特
30,0,2051,3,16,10,限定专属：海姆达尔
31,0,2050,3,2,80,限定专属：卡俄斯
32,0,2053,3,8,120,限定专属：卑弥呼
33,0,2049,2,15,60,限定专属：伊卡洛斯
34,0,2055,2,27,100,限定专属：冰龙
35,0,2054,2,27,100,限定专属：缘结神
36,0,2042,3,8,100,限定专属：圣诞女神
37,0,2048,3,21,150,限定专属：冥王哈迪斯
38,0,2052,3,8,100,限定专属：米迦勒
39,0,2056,2,28,100,限定专属：灰烬龙女
40,0,2057,3,8,150,限定专属：风暴之龙
41,0,2060,2,18,30,限定专属：芙蕾雅
42,0,2058,2,29,100,限定专属：猫又
43,0,1001,3,1,60,限定专属：主角
44,0,2063,3,2,80,限定专属：沈青儿
45,0,2067,3,1,60,限定专属：嫦娥
46,0,2068,2,16,55,限定专属：阿修罗
47,0,2065,3,1,60,限定专属：双子座
48,0,2069,2,15,60,限定专属：雅典娜
49,0,2071,2,29,120,限定专属：摩羯座
50,0,2073,3,2,80,限定专属：双鱼座
51,0,2074,2,27,100,限定专属：维纳斯
52,0,2075,2,15,60,限定专属：宙斯
53,0,2076,3,15,40,限定专属：洛基
54,0,2077,2,15,60,限定专属：索尔
55,0,2078,2,28,140,限定专属：阿波罗
56,0,2081,2,27,100,限定专属：荷鲁斯
