id,attr_fixd_type_type_1,attr_fixd_type_1,attr_fixd_value_1,attr_fixd_type_type_2,attr_fixd_type_2,attr_fixd_value_2,consume_1,consume_2,unlock_skill,need_quality
0,2,1,0,2,3,0,0,0,0,0
1,2,1,3,2,3,3,3000139:100,3000140:0,0,0
2,2,1,6,2,3,6,3000139:100,3000140:0,0,0
3,2,1,9,2,3,9,3000139:200,3000140:0,0,0
4,2,1,12,2,3,12,3000139:300,3000140:0,0,0
5,2,1,15,2,3,15,3000139:400,3000140:5,0,0
6,2,1,18,2,3,18,3000139:500,3000140:0,0,0
7,2,1,21,2,3,21,3000139:600,3000140:0,0,0
8,2,1,24,2,3,24,3000139:700,3000140:0,0,0
9,2,1,27,2,3,27,3000139:800,3000140:0,0,0
10,2,1,30,2,3,30,3000139:900,3000140:15,0,0
11,2,1,33,2,3,33,3000139:1000,3000140:0,0,0
12,2,1,36,2,3,36,3000139:1100,3000140:0,0,0
13,2,1,39,2,3,39,3000139:1200,3000140:0,0,0
14,2,1,42,2,3,42,3000139:1300,3000140:0,0,0
15,2,1,45,2,3,45,3000139:1400,3000140:25,0,0
16,2,1,48,2,3,48,3000139:1500,3000140:0,0,0
17,2,1,51,2,3,51,3000139:1500,3000140:0,0,0
18,2,1,54,2,3,54,3000139:1500,3000140:0,0,0
19,2,1,57,2,3,57,3000139:1500,3000140:0,0,0
20,2,1,60,2,3,60,3000139:1500,3000140:50,0,0
21,2,1,63,2,3,63,3000139:1500,3000140:0,0,0
22,2,1,66,2,3,66,3000139:1500,3000140:0,0,0
23,2,1,69,2,3,69,3000139:1500,3000140:0,0,0
24,2,1,72,2,3,72,3000139:1500,3000140:0,0,0
25,2,1,75,2,3,75,3000139:1500,3000140:75,0,0
26,2,1,78,2,3,78,3000139:1500,3000140:0,0,0
27,2,1,82,2,3,82,3000139:1500,3000140:0,0,0
28,2,1,86,2,3,86,3000139:1500,3000140:0,0,0
29,2,1,90,2,3,90,3000139:1500,3000140:0,0,0
30,2,1,100,2,3,100,3000139:1500,3000140:100,1,0
31,2,1,103,2,3,103,3000139:1500,3000140:0,0,0
32,2,1,106,2,3,106,3000139:1500,3000140:0,0,0
33,2,1,109,2,3,109,3000139:1500,3000140:0,0,0
34,2,1,112,2,3,112,3000139:1500,3000140:0,0,0
35,2,1,115,2,3,115,3000139:1500,3000140:25,0,0
36,2,1,118,2,3,118,3000139:1500,3000140:0,0,0
37,2,1,121,2,3,121,3000139:1500,3000140:0,0,0
38,2,1,124,2,3,124,3000139:1500,3000140:0,0,0
39,2,1,127,2,3,127,3000139:1500,3000140:0,0,0
40,2,1,130,2,3,130,3000139:1500,3000140:50,0,0
41,2,1,133,2,3,133,3000139:1500,3000140:0,0,0
42,2,1,136,2,3,136,3000139:1500,3000140:0,0,0
43,2,1,139,2,3,139,3000139:1500,3000140:0,0,0
44,2,1,142,2,3,142,3000139:1500,3000140:0,0,0
45,2,1,145,2,3,145,3000139:1500,3000140:75,0,0
46,2,1,148,2,3,148,3000139:1500,3000140:0,0,0
47,2,1,151,2,3,151,3000139:1500,3000140:0,0,0
48,2,1,154,2,3,154,3000139:1500,3000140:0,0,0
49,2,1,157,2,3,157,3000139:1500,3000140:0,0,0
50,2,1,160,2,3,160,3000139:1500,3000140:100,0,0
51,2,1,163,2,3,163,3000139:1500,3000140:0,0,0
52,2,1,166,2,3,166,3000139:1500,3000140:0,0,0
53,2,1,169,2,3,169,3000139:1500,3000140:0,0,0
