id,quality,quality_level_init,quality_level_max,awake_level_max,strengthen_skill_1,strengthen_skill_awake_1,strengthen_skill_2,strengthen_skill_awake_2,relic_pvp_skill,attr_fixd_type_type,attr_fixd_type,attr_fixd_value,attr_exclusive_id,name,icon_path,desc
150001,3,1,5,0,0,0,0,0,0,2,23,40,0,末日号角,150001.png,末日代表着旧时代的结束，而将会迎来怎样的新时代，末日号角并未给出它的答案。
150002,3,1,5,0,0,0,0,0,0,2,22,40,0,克里特迷宫,150002.png,代达罗斯建造的异常复杂混乱的迷宫，但即使再复杂的迷宫，也无法成为米洛斯的遮羞布。
150003,3,1,5,0,0,0,0,0,0,2,21,40,0,艾拉托竖琴,150003.png,这是一个关于艺术与欢乐的故事，竖琴在以它自己的方式默默细述着这段回忆。
150004,3,1,5,0,0,0,0,0,0,2,16,20,0,金铜香炉,150004.png,充满神器力量的香炉，能辟邪、招百福，也给熊女带来奇特的力量。
150005,4,2,7,0,0,0,0,0,0,2,22,60,0,神农琴,150005.png,长三尺六分六寸，上有五弦：曰、宫、角、徵、羽。\n琴声能道天地之德，能表神农之和，也能给人们带来欢乐。
150006,4,2,7,0,0,0,0,0,0,2,29,80,0,温暖祈祷,150006.png,拉斐尔带着智天使的头衔，是强大实力的代表。\n在寒冬的夜晚，更是能够温暖和治愈人心的存在。
150007,4,2,7,0,0,0,0,0,0,2,21,60,0,鲜血之池,150007.png,当回过神来，手已被刺痛。\n伤疤被时间治愈，心却依旧为了玫瑰而疼痛。\n心早已被偷走，甘愿化为这血池中的一滴。
150008,4,2,7,0,0,0,0,0,0,2,23,60,0,裹灵布,150008.png,裹灵布是神圣的、纯洁的。但是正是如此，盖布将它们用来包裹那一个个罪恶的灵魂。\n埋葬于大地之下，永世无法逃出。
150009,4,2,7,0,0,0,0,0,0,2,16,30,0,永恒桂冠,150009.png,耀眼夺目，犹如金黄的麦穗或是地里的黄金。\n即使如今金丝编制而成如此永恒桂冠，却也怎样都无法回到那年夏天。
150010,4,2,7,0,0,0,0,0,0,2,23,60,1,金字塔,150010.png,记忆被苦难模糊，仅存的欢乐被死亡漂白。\n对于来到冥界的灵魂，这仍然是心驰神往的彼岸。
150011,4,2,7,0,0,0,0,0,0,2,21,60,2,命运之书,150011.png,命运之书到底是正在被书写，还是早已成册，没有人知道。\n正如薛定谔的猫，在打开盒子之前，你终究无法确定你自己的命运。
150012,4,2,7,0,0,0,0,0,0,2,18,5,3,月夜法则,150012.png,光可以散漫的划破一片片夜空，光可以直直的照进人的内心。\n但光会被黑洞吸收，光也得遵循倪克斯的月夜法则。
150013,4,2,7,0,0,0,0,0,0,2,22,60,4,仙桃,150013.png,花微果小，三千年一熟，人吃了成仙了道，体健身轻；\n层花甘实，六千年一熟，人吃了霞举飞升，长生不老；\n紫纹缃核，九千年一熟，人吃了天地同寿，日月同庚。——《西游记》
150014,4,2,7,0,0,0,0,0,0,2,23,60,5,王座,150014.png,伊利斯作为含义为王座，法老是伊利斯的孩子，坐在她提供的御座上。伊利斯能用她的王座保护着幼童和亡灵，也能用她的王座复活死者。
150015,5,4,14,0,0,0,0,0,0,2,21,80,6,海神三叉戟,150015.png,普通的武器：在撕裂大地、在击碎岩石、甚至在使天地崩塌。\n海神三叉戟：普通的武器可以的，它都可以，它还可以撕裂宇宙，使冥界暴露。
150016,5,4,14,0,0,0,0,0,0,2,23,80,7,幻镜,150016.png,方塔苏斯什么技能都会，她能幻化成世上万物的模样，但是从来没有人见过方塔苏斯本来的模样，或许她也忘记了自己原本是什么样
150017,5,4,14,0,0,0,0,0,0,2,18,10,8,人鱼之歌,150017.png,不要温顺的走近那个良夜，不要在如此让人心安的歌声中沉睡，才能免于坠入她们的血盆大口。
150018,5,4,14,0,0,0,0,0,0,2,22,80,9,石化魔瞳,150018.png,透过美丽的瞳，看到了你和美杜莎一起走过的旅途。\n美丽、纯洁、好似一段遥不可及的梦，但又让你愿意不断去追寻，直到身体和灵魂慢慢石化。
150019,5,4,14,0,0,0,0,0,0,2,22,80,10,月桂冠,150019.png,为了寻找心中的唯一踏上了旅程。\n走走停停，曲曲折折，但是只要方向坚定，胜利女神终会将桂冠戴在你头上。
