cfg_id,thing_des,cost_score,must_buy,level_limit,limit_count,need_dungeon_id,lang_tips
1,5:3000049:1,500,1,60,3,580,Unlock buying after clear 17-60 dungeon
2,5:3000005:1,300,1,0,-1,0,xx副本后开放购买
3,5:3000004:1,50,0,0,-1,0,xx副本后开放购买
4,5:3000007:1,10,0,40,-1,0,
5,5:3000008:1,20,0,40,-1,0,
6,5:3000009:1,100,1,40,-1,0,
7,5:3000010:1,300,1,40,-1,0,
8,5:1000006:1,80,0,70,-1,0,
9,5:3000011:1,500,1,50,-1,0,
10,5:2000005:10,200,0,50,-1,0,xx副本后开放购买
11,5:3000065:1,500,1,100,-1,0,
12,5:3000066:1,100,1,100,-1,0,xx副本后开放购买
13,5:1000038:1,30,1,20,1,0,
14,5:1000039:1,50,1,20,1,0,
15,5:1000040:1,100,1,20,1,0,
16,5:3000096:1,999,0,20,-1,0,
