money_type,quality,desc
1,4,Common Currency
2,5,Advanced Currency
3,3,Used to craft gears and artifacts
4,2,Used to enhance gear
5,5,Used to make gems level up
6,4,Used to craft artifact
7,1,It's holy soul shard.
8,6,Used to convert rare items in point store
9,4,Specified currency in exploit Store
10,4,Specified currency in Glory Arena Store
11,4,Treasure Map
12,6,Adv. Currency in Sapphire Store
13,2,Guild Contribution
14,3,Can be used in Angel level-up
15,4,Abyss Currency
16,4,Beautiful golden apples can redeem extremely valuable items in the golden apple store.
17,6,"Used to convert rare items in redeem celebration. After the celebration ends, the system will automatically recycle them."
18,5,
19,4,
20,5,
21,6,"Used to convert rare items in redeem celebration. After the celebration ends, the system will automatically recycle them."
22,5,Can redeem items in Eudemons hunting event
23,5,Fear Abyss currency can be used in Store
24,5,"Fear Abyss points can be used to purchase buff and items, and it will be reset after each event ends"
25,5,星海寻图积分
