id,include_image,goods_id
1,btn_chat_biaoqing1|btn_chat_biaoqing2|btn_chat_biaoqing3|btn_chat_biaoqing4|btn_chat_biaoqing5,0
2,btn_chat_biaoqing11|btn_chat_biaoqing12|btn_chat_biaoqing13|btn_chat_biaoqing14|btn_chat_biaoqing15,0
3,btn_chat_biaoqing21|btn_chat_biaoqing22|btn_chat_biaoqing23|btn_chat_biaoqing24|btn_chat_biaoqing25,0
4,btn_chat_biaoqing31|btn_chat_biaoqing32|btn_chat_biaoqing33|btn_chat_biaoqing34|btn_chat_biaoqing35,0
5,btn_chat_biaoqing41|btn_chat_biaoqing42|btn_chat_biaoqing43|btn_chat_biaoqing44|btn_chat_biaoqing45|btn_chat_biaoqing46|btn_chat_biaoqing47|btn_chat_biaoqing48,0
6,btn_chat_biaoqing51|btn_chat_biaoqing52|btn_chat_biaoqing53|btn_chat_biaoqing54|btn_chat_biaoqing55|btn_chat_biaoqing56|btn_chat_biaoqing57|btn_chat_biaoqing58,0
7,btn_chat_biaoqing61|btn_chat_biaoqing62|btn_chat_biaoqing63|btn_chat_biaoqing64|btn_chat_biaoqing65|btn_chat_biaoqing66|btn_chat_biaoqing67|btn_chat_biaoqing68,0
8,btn_chat_biaoqing71|btn_chat_biaoqing72|btn_chat_biaoqing73|btn_chat_biaoqing74|btn_chat_biaoqing75|btn_chat_biaoqing76|btn_chat_biaoqing77|btn_chat_biaoqing78,3000155
9,btn_chat_biaoqing81|btn_chat_biaoqing82|btn_chat_biaoqing83|btn_chat_biaoqing84,3000166
10,btn_chat_biaoqing91|btn_chat_biaoqing92|btn_chat_biaoqing93|btn_chat_biaoqing94|btn_chat_biaoqing95|btn_chat_biaoqing96|btn_chat_biaoqing97|btn_chat_biaoqing98,3000177
11,btn_chat_biaoqing101|btn_chat_biaoqing102|btn_chat_biaoqing103|btn_chat_biaoqing104|btn_chat_biaoqing105|btn_chat_biaoqing106|btn_chat_biaoqing107|btn_chat_biaoqing108,3000246
12,btn_chat_biaoqing111|btn_chat_biaoqing112|btn_chat_biaoqing113|btn_chat_biaoqing114|btn_chat_biaoqing115|btn_chat_biaoqing116|btn_chat_biaoqing117|btn_chat_biaoqing118,3000247
13,btn_chat_biaoqing121|btn_chat_biaoqing122|btn_chat_biaoqing123|btn_chat_biaoqing124|btn_chat_biaoqing125|btn_chat_biaoqing126|btn_chat_biaoqing127|btn_chat_biaoqing128,3000250
