id,name,if_use_ur_plus_skill,npc_level,hero_level,reward,refresh_index,fight_value
1,The Lost,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,248220
2,The Fallen,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,496512
3,The Sink,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,744732
4,The Drowned,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,992976
5,The Fearful,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,1241100
6,The Survivalist,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,1489320
7,The Challenger,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,1737564
8,The Seeker,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,1985820
9,The Arrogant,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,2234076
10,The Jealous,0,120,200,5:3000139:50|1:23:10|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,2736924
11,The Furious,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,2730516
12,The Lazy,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,2978844
13,The Greedy,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,3227088
14,The Gluttonous,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,3475308
15,The lustful,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,3723432
16,Abyss Sentinel,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,3971676
17,Abyss Warrior,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,4219896
18,Abyss Captain,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,4468104
19,Abyss Vanguard,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,4716384
20,Abyss Elite,0,120,200,5:3000139:50|1:23:10|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,5473860
21,Abyss General,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,5212872
22,Abyss Warlord Escort,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,5461176
23,Abyss Warlord,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,5709336
24,Abyss Commander Escort,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,5957652
25,Abyss Commander,0,120,200,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,6205764
26,The Lost,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,6547968
27,The Fallen,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,6799812
28,The Sink,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,7051680
29,The Drowned,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,7303560
30,The Fearful,0,125,220,5:3000139:50|1:23:10|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,8334636
31,The Survivalist,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,8310972
32,The Challenger,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,9066420
33,The Seeker,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,9822036
34,The Arrogant,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,10577544
35,The Jealous,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,11333064
36,The Furious,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,12088632
37,The Lazy,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,12844176
38,The Greedy,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,13599576
39,The Gluttonous,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,14355192
40,The lustful,0,125,220,5:3000139:50|1:23:10|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,16669356
41,Abyss Sentinel,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,15866280
42,Abyss Warrior,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,16621788
43,Abyss Captain,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,17377356
44,Abyss Vanguard,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,18133008
45,Abyss Elite,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,18888432
46,Abyss General,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,19644012
47,Abyss Warlord Escort,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,20147760
48,Abyss Warlord,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,21406932
49,Abyss Commander Escort,0,125,220,5:3000139:50|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,22666152
50,Abyss Commander,0,125,220,5:3000139:50|5:3000140:5|1:23:10|1:24:1,1|1|1|2|6|6|6|7|11|16|21|26|27,30379812
51,The Lost,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,30856464
52,The Fallen,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,31990800
53,The Sink,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,33145548
54,The Drowned,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,34320576
55,The Fearful,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,35515800
56,The Survivalist,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,36731556
57,The Challenger,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,37967760
58,The Seeker,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,39224304
59,The Arrogant,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,40500912
60,The Jealous,0,130,240,5:3000139:50|1:23:10|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,45987696
61,The Furious,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,43115748
62,The Lazy,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,44453736
63,The Greedy,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,45812016
64,The Gluttonous,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,47190300
65,The lustful,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,48589476
66,Abyss Sentinel,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,50008884
67,Abyss Warrior,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,51448608
68,Abyss Captain,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,52908264
69,Abyss Vanguard,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,53872728
70,Abyss Elite,0,130,240,5:3000139:50|1:23:10|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,59926524
71,Abyss General,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,55817856
72,Abyss Warlord Escort,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,56797932
73,Abyss Warlord,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,57783984
74,Abyss Commander Escort,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,58775400
75,Abyss Commander,0,130,240,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,59772204
76,The Lost,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,61533828
77,The Fallen,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,62550948
78,The Sink,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,63537036
79,The Drowned,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,64527420
80,The Fearful,0,135,260,5:3000139:50|1:23:10|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,71509128
81,The Survivalist,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,66521028
82,The Challenger,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,67458384
83,The Seeker,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,68432124
84,The Arrogant,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,69409452
85,The Jealous,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,70390140
86,The Furious,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,71374812
87,The Lazy,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,72204840
88,The Greedy,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,73034808
89,The Gluttonous,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,73864836
90,The lustful,0,135,260,5:3000139:50|1:23:10|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,81429720
91,Abyss Sentinel,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,75524496
92,Abyss Warrior,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,76354560
93,Abyss Captain,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,77184588
94,Abyss Vanguard,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,78014280
95,Abyss Elite,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,78844248
96,Abyss General,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,79674216
97,Abyss Warlord Escort,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,80504244
98,Abyss Warlord,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,81333960
99,Abyss Commander Escort,0,135,260,5:3000139:50|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,82164084
100,Abyss Commander,0,135,260,5:3000139:50|5:3000140:5|1:23:10|1:24:1,1|1|2|2|6|6|7|7|11|16|21|26|26|27,97961268
101,The Lost,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,74828412
102,The Fallen,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,76342452
103,The Sink,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,77871060
104,The Drowned,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,79415424
105,The Fearful,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,80974284
106,The Survivalist,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,82548732
107,The Challenger,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,84137880
108,The Seeker,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,85742640
109,The Arrogant,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,87361860
110,The Jealous,0,140,280,5:3000139:50|1:23:10|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,97301436
111,The Furious,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,90646296
112,The Lazy,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,92310996
113,The Greedy,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,93991212
114,The Gluttonous,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,95518488
115,The lustful,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,96889320
116,Abyss Sentinel,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,98268300
117,Abyss Warrior,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,99656724
118,Abyss Captain,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,101053392
119,Abyss Vanguard,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,101964684
120,Abyss Elite,0,140,280,5:3000139:50|1:23:10|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,112246308
121,Abyss General,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,103787916
122,Abyss Warlord Escort,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,104699700
123,Abyss Warlord,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,105611136
124,Abyss Commander Escort,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,106523076
125,Abyss Commander,0,140,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,107434308
