idx,cid,state,girl_dialog,switch_1,switch_2,girl_dialog_after_switch1,girl_dialog_after_switch2,sound,sound_after_switch1,sound_after_switch2,award,favorability
1,2047,2,Humans suffer so much frustration and betrayal in romance. I wonder if they still believe in love.,At least I believe!,I do not know either...,Good answer! Doesn't love appear precious because of many hardships?,"Your tone makes you sound bitter and jaded. There's no need for that. With me at your side, your luck with love will be much better.",,,,,10
2,2047,2,Do you have a crush on a special someone? Would you like for me to use one of my arrows to make her fall in love with you?,I totally agree!,I disagree.,"Right? After all, if gods are so different from humans that they can't share a deep love with them, I would rather not be a god!","... After all, humans have short lifespans. And, sadly, their love dies with them.",,,,,10
3,2047,1,Do you have a crush on a special someone? Would you like for me to use one of my arrows to make her fall in love with you?,I'm too embarrassed to say!,"Yes, I do!","If you don't tell me who it is, then I'll write your name on an arrow and shoot it out blindly! Do you really want to leave it up to chance?",So which lucky girl will my arrow of love strike? Wait... This arrow seems to be targeting me?!,,,,,10
4,2047,2,Humans always think that power and money can buy them anything. But that's not the case with love.,You are right!,How do you know when you've found true love?,I make it my mission to ruin love rooted in greed. Will you stay at my side and help?,"You know its true love when you're willing to give up everything for it, including the power to rule the world.",,,,,10
5,2047,1,Are you good at archery?,I'm very good at that!,Uh...not very good.,Really? That's great! I'm a bit tired of being the god of love and need a break. I'm looking for someone to take my place for a while,"Do you want me to give you private lessons? Just grab my hand and draw back the bowstring. ...Oh, why is your other hand touching me there?",,,,,10
6,2047,2,Being a god of love is also quite boring. I also want to have an unforgettable date!,Are you free tonight?,Who do you want to date?,I wasn't expecting you to ask me so suddenly! I don't know what to say...,"Anyone would be fine... Although, a date with you would be nice.",,,,,10
7,2039,1,I like lilies very much. It can symbolize purity and loyalty more than ever in the world.,It really suits you.,I like it too.,"That's just the way it is! No matter how pleasant your words are, I won't be happy with the praise from mortals!","You are different from those who love flowers with beautiful colors, which surprised me a lot..",,,,,10
8,2039,5,"According to prophecy, I will marry a very powerful person who lusts after women.",Fate can be changed.,You can't deny fate.,It seems that you are a person who does not believe in fate. It has been a long time since no mortal dared to fight against fate.,"For your sake, you better hope that person isn't you. Whoever I marry will suffer horribly.",,,,,10
9,2039,3,"Want to visit my private garden? Even if the end of the world comes, I have a quiet place of my own.",I feel very honored!,Will it bother you?,There's no one else here. Just relax and enjoy this time alone together.,"Although there are only two of us! But this is just a personal invitation, don't think too much!",,,,,10
10,2039,1,The flames of war give my flowers an especially attractive glow.,I hope you are merciful.,I wish you good luck and prosperity.,"I'm never soft on the battlefield. But if you want me to treat the enemy with kindness, I won't object.",Haha... Many people have already said this to me and followed me onto the battlefield. Would you like to know their stories?,,,,,10
