id,gift_id,awake_count,god_awake_count,super_awake_count,relic_quailty_level,task_reward
1,9,0,-1,-1,-1,5:3000027:1
2,0,1,-1,-1,-1,5:3000027:1
3,10,2,-1,-1,-1,5:3000027:1
4,0,3,-1,-1,-1,5:3000027:1
5,11,4,-1,-1,-1,5:3000027:1
6,0,5,-1,-1,-1,5:3000027:1
7,12,-1,0,-1,-1,5:3000027:2
8,0,-1,1,-1,-1,5:3000027:2
9,13,-1,2,-1,-1,5:3000027:2
10,0,-1,3,-1,-1,5:3000027:2
11,14,-1,4,-1,-1,5:3000027:2
12,0,-1,5,-1,-1,5:3000027:2
13,15,-1,-1,0,-1,5:3000027:5
14,0,-1,-1,1,-1,5:3000027:5
15,16,-1,-1,2,-1,5:3000027:5
16,0,-1,-1,3,-1,5:3000027:5
17,17,-1,-1,4,-1,5:3000027:5
18,0,-1,-1,5,-1,5:6000004:1
19,18,-1,-1,-1,5,5:3000140:5
20,0,-1,-1,-1,6,5:3000140:5
21,19,-1,-1,-1,7,5:3000140:5
22,0,-1,-1,-1,8,5:3000140:5
23,0,-1,-1,-1,9,5:3000140:10
24,20,-1,-1,-1,10,5:3000140:10
25,0,-1,-1,-1,11,5:3000140:10
26,21,-1,-1,-1,12,5:3000140:10
27,0,-1,-1,-1,13,5:3000140:10
28,22,-1,-1,-1,14,5:3000140:10
