task_id,task_type,task_group,task_index,task_id_before,activity_day,task_condition,task_value,reward,user_back_active_value,content,content_param
16000101,16,0,0,0,1,2000,1,1:2:100,50,Game Login,这里
16000102,16,0,0,0,2,2000,2,1:2:100,50,Game Login,参数
16000103,16,0,0,0,3,2000,3,1:2:100,50,Game Login,参数
16000104,16,0,0,0,4,2000,4,1:2:100,50,Game Login,参数
16000105,16,0,0,0,5,2000,5,1:2:100,50,Game Login,参数
16000106,16,2,1,0,1,2001,40,1:1:20000|1:4:1000,10,Gear smelt {0} times,40
16000107,16,2,2,16000106,1,2001,60,1:1:20000|1:4:1000,10,Gear smelt {0} times,60
16000108,16,2,3,16000107,1,2001,80,1:1:20000|1:4:1000,10,Gear smelt {0} times,80
16000109,16,2,4,16000108,1,2001,100,1:1:20000|1:4:1000,10,Gear smelt {0} times,100
16000110,16,2,5,16000109,1,2001,130,1:1:20000|1:4:1000,10,Gear smelt {0} times,130
16000111,16,2,6,16000110,1,2001,160,1:1:20000|1:4:1000,10,Gear smelt {0} times,160
16000112,16,2,7,16000111,1,2001,200,1:1:20000|1:4:1000,10,Gear smelt {0} times,200
16000113,16,2,8,16000112,1,2001,250,1:1:20000|1:4:1000,10,Gear smelt {0} times,250
16000114,16,2,9,16000113,1,2001,300,1:1:20000|1:4:1000,10,Gear smelt {0} times,300
16000115,16,2,10,16000114,1,2001,400,1:1:20000|1:4:1000,10,Gear smelt {0} times,400
16000116,16,4,1,0,1,25,1,1:1:20000|5:2000018:1,10,Quick-combat {0} time(s),1
16000117,16,4,2,16000116,1,25,2,1:1:20000|5:2000018:1,10,Quick-combat {0} time(s),2
16000118,16,4,3,16000117,1,25,3,1:1:20000|5:2000018:1,10,Quick-combat {0} time(s),3
16000119,16,4,4,16000118,1,25,4,1:1:20000|5:2000018:1,10,Quick-combat {0} time(s),4
16000120,16,4,5,16000119,1,25,5,1:1:20000|5:2000018:1,10,Quick-combat {0} time(s),5
16000121,16,4,6,16000120,1,25,6,1:1:20000|5:2000018:1,10,Quick-combat {0} time(s),6
16000122,16,4,7,16000121,1,25,7,1:1:20000|5:2000018:1,10,Quick-combat {0} time(s),7
16000123,16,4,8,16000122,1,25,8,1:1:20000|5:2000018:1,10,Quick-combat {0} time(s),8
