map_id,npc_id,fight_value
1,2401,2356225 
2,2401,2356225 
3,2401,2356225 
4,2401,2356225 
5,2401,2356225 
6,2401,2356225 
7,2401,2356225 
8,2401,2356225 
9,2401,2356225 
10,2401,2356225 
11,2401,2356225 
12,2401,2356225 
13,2401,2356225 
14,2401,2356225 
15,2401,2356225 
16,2461,3146650 
17,2521,4289873 
18,2581,5397422 
19,2641,6386808 
20,2701,7869833 
21,2761,9134848 
22,2821,10568548 
23,2881,12741598 
24,2941,16182106 
25,3001,19673083 
26,3031,20655778 
27,3061,21743738 
28,3091,24328284 
29,3121,28978003 
30,3151,33247033 
31,3181,37579615 
32,3211,41956789 
33,3241,46463434 
34,3271,50832250 
35,3301,55218346 
36,3331,59756647 
37,3361,64098612 
38,3461,70825392 
39,3561,78334731 
40,3670,94558802 
41,3770,127705810 
42,3870,150844288 
43,3970,166484980 
44,4070,200566734 
45,4170,303637106 
46,4270,436867504 
47,4370,525142529 
48,4470,634377975 
49,4570,695728233 
50,4570,695728233 
51,4570,695728233 
52,4570,695728233 
53,4570,695728233 
54,4570,695728233 
55,4570,695728233 
56,4570,695728233 
57,4570,695728233 
58,4570,695728233 
59,4570,695728233 
60,4570,695728233 
61,4570,695728233 
62,4570,695728233 
63,4570,695728233 
64,4570,695728233 
65,4570,695728233 
66,4570,695728233 
67,4570,695728233 
68,4570,695728233 
69,4570,695728233 
70,4570,695728233 
71,4570,695728233 
72,4570,695728233 
73,4570,695728233 
74,4570,695728233 
75,4570,695728233 
76,4570,695728233 
77,4570,695728233 
78,4570,695728233 
79,4570,695728233 
80,4570,695728233 
