cfg_id,build_id,build_name,level,need_step,reward_thing,reward_goods_count,hero_num,hero_job,hero_quality,need_ur,need_ur_plus,add_reward_num
1,1,Gift House,1,4,1:4,50,1,2,1,0,0,50
2,1,Gift House,2,4,1:4,100,2,2,1,0,0,50
3,1,Gift House,3,4,1:4,150,3,2,1,0,0,50
4,1,Gift House,4,4,1:4,200,4,2,1,0,0,50
5,1,Gift House,5,4,1:4,250,5,2,1,0,0,50
6,2,Cone House,1,10,5:3000213,1,1,1,1,0,0,1
7,2,Cone House,2,10,5:3000213,1,2,1,1,0,0,1
8,2,Cone House,3,10,5:3000213,1,3,1,1,0,0,1
9,2,Cone House,4,10,5:3000213,1,4,1,1,0,0,1
10,2,Cone House,5,10,5:3000213,1,5,1,1,0,0,1
11,3,Dessert House,1,5,1:2,5,1,3,3,0,0,5
12,3,Dessert House,2,5,1:2,10,2,3,3,0,0,5
13,3,Dessert House,3,5,1:2,15,3,3,3,0,0,5
14,3,Dessert House,4,5,1:2,20,4,3,3,0,0,5
15,3,Dessert House,5,5,1:2,25,5,3,3,0,0,5
16,4,Circus,1,5,5:3000006,5,1,2,1,0,0,5
17,4,Circus,2,5,5:3000006,10,2,2,1,0,0,5
18,4,Circus,3,5,5:3000006,15,3,2,1,0,0,5
19,4,Circus,4,5,5:3000006,20,4,2,1,0,0,5
20,4,Circus,5,5,5:3000006,25,5,2,1,0,0,5
21,5,Bakery,1,10,5:3000213,1,1,2,3,0,0,1
22,5,Bakery,2,10,5:3000213,1,2,2,3,0,0,1
23,5,Bakery,3,10,5:3000213,1,3,2,3,0,0,1
24,5,Bakery,4,10,5:3000213,1,4,2,3,0,0,1
25,5,Bakery,5,10,5:3000213,1,5,2,3,0,0,1
26,6,Carousel,1,8,5:1000006,1,1,3,1,0,0,1
27,6,Carousel,2,8,5:1000006,2,2,3,1,0,0,1
28,6,Carousel,3,8,5:1000006,3,3,3,1,0,0,1
29,6,Carousel,4,8,5:1000006,4,4,3,1,0,0,1
30,6,Carousel,5,8,5:1000006,5,5,3,1,0,0,1
31,7,Heart-flipping Bus,1,6,5:3000006,2,1,1,1,0,0,1
32,7,Heart-flipping Bus,2,6,5:3000006,4,2,1,1,0,0,1
33,7,Heart-flipping Bus,3,6,5:3000006,6,3,1,1,0,0,1
34,7,Heart-flipping Bus,4,6,5:3000006,8,4,1,1,0,0,1
35,7,Heart-flipping Bus,5,6,5:3000006,10,5,1,1,0,0,1
36,8,Doughnut House,1,4,5:3000007,5,1,3,1,0,0,3
37,8,Doughnut House,2,4,5:3000007,10,2,3,1,0,0,3
38,8,Doughnut House,3,4,5:3000007,15,3,3,1,0,0,3
39,8,Doughnut House,4,4,5:3000007,20,4,3,1,0,0,3
40,8,Doughnut House,5,4,5:3000007,25,5,3,1,0,0,3
