level,coin,essence
1,400,0
2,650,0
3,900,0
4,1200,0
5,1500,0
6,1800,0
7,2100,0
8,2600,0
9,3100,0
10,3600,1
11,4100,5
12,4700,10
13,5300,15
14,5900,20
15,6500,25
16,7500,30
17,8000,35
18,8500,40
19,9000,45
20,9500,50
21,10000,60
22,10500,70
23,11000,80
24,11500,90
25,12000,100
26,12500,110
27,13000,120
28,13500,130
29,14000,140
30,14500,150
31,15000,180
32,15500,210
33,16000,240
34,16500,270
35,17000,300
36,17500,330
37,18000,360
38,18500,390
39,19000,420
40,19500,450
41,20000,500
42,20500,550
43,21000,600
44,21500,650
45,22000,700
46,22500,750
47,23000,800
48,23500,850
49,24000,900
50,24500,950
51,25000,1000
52,25500,1050
53,26000,1100
54,26500,1150
55,27000,1200
56,27500,1250
57,28000,1300
58,28500,1350
59,29000,1400
60,29500,1450
61,30000,1500
62,30500,1550
63,31000,1600
64,31500,1650
65,32000,1700
66,32500,1750
67,33000,1800
68,33500,1850
69,34000,1900
70,34500,1950
71,35000,2000
72,35500,2050
73,36000,2100
74,36500,2150
75,37000,2200
76,37500,2250
77,38000,2300
78,38500,2350
79,39000,2400
80,39500,2450
81,40000,2550
82,40500,2650
83,41000,2750
84,41500,2850
85,42000,2950
86,42500,3050
87,43000,3150
88,43500,3250
89,44000,3350
90,44500,3450
91,45000,3550
92,45500,3650
93,46000,3750
94,46500,3850
95,47000,3950
96,47500,4050
97,48000,4150
98,48500,4250
99,49000,4350
100,49500,4450
101,50000,4550
102,50500,4650
103,51000,4750
104,51500,4850
105,52000,4950
106,52500,5050
107,53000,5150
108,53500,5250
109,54000,5350
110,54500,5450
111,55000,5550
112,55500,5650
113,56000,5750
114,56500,5850
115,57000,5950
116,57500,6050
117,58000,6150
118,58500,6250
119,59000,6350
120,59500,6450
121,60000,6550
122,60500,6650
123,61000,6750
124,61500,6850
125,62000,6950
126,62500,7050
127,63000,7150
128,63500,7250
129,64000,7350
130,64500,7450
131,65000,7550
132,65500,7650
133,66000,7750
134,66500,7850
135,67000,7950
136,67500,8050
137,68000,8150
138,68500,8250
139,69000,8350
140,69500,8450
141,70000,8550
142,70500,8650
143,71000,8750
144,71500,8850
145,72000,8950
146,72500,9050
147,73000,9150
148,73500,9250
149,74000,9350
150,74500,9450
151,75000,9550
152,75500,9650
153,76000,9750
154,76500,9850
155,77000,9950
156,77500,10050
157,78000,10150
158,78500,10250
159,79000,10350
160,79500,10450
161,80000,10550
162,80500,10650
163,81000,10750
164,81500,10850
165,82000,10950
166,82500,11050
167,83000,11150
168,83500,11250
169,84000,11350
170,84500,11450
171,85000,11550
172,85500,11650
173,86000,11750
174,86500,11850
175,87000,11950
176,87500,12050
177,88000,12150
178,88500,12250
179,89000,12350
180,89500,12450
181,90000,12550
182,90500,12650
183,91000,12750
184,91500,12850
185,92000,12950
186,92500,13050
187,93000,13150
188,93500,13250
189,94000,13350
190,94500,13450
191,95000,13550
192,95500,13650
193,96000,13750
194,96500,13850
195,97000,13950
196,97500,14050
197,98000,14150
198,98500,14250
199,99000,14350
200,99500,14450
201,100000,15000
202,102000,15200
203,104000,15400
204,106000,15600
205,108000,15800
206,110000,16000
207,112000,16200
208,114000,16400
209,116000,16600
210,118000,16800
211,120000,17000
212,122000,17200
213,124000,17400
214,126000,17600
215,128000,17800
216,130000,18000
217,132000,18200
218,134000,18400
219,136000,18600
220,138000,18800
221,140000,19000
222,142000,19200
223,144000,19400
224,146000,19600
225,148000,19800
226,150000,20000
227,152000,20200
228,154000,20400
229,156000,20600
230,158000,20800
231,160000,21000
232,162000,21200
233,164000,21400
234,166000,21600
235,168000,21800
236,170000,22000
237,172000,22200
238,174000,22400
239,176000,22600
240,178000,22800
241,180000,23000
242,182000,23200
243,184000,23400
244,186000,23600
245,188000,23800
246,190000,24000
247,192000,24200
248,194000,24400
249,196000,24600
250,198000,24800
251,200000,25000
252,202000,25200
253,204000,25400
254,206000,25600
255,208000,25800
256,210000,26000
257,212000,26200
258,214000,26400
259,216000,26600
260,218000,26800
