id,scene_id,skin_id,cur_sub_id,girl_dialog,switch_1,switch_2,girl_dialog_after_switch1,girl_dialog_after_switch2
1,2,102039011,1,You have the time visit me? Is that a coincidence? Or have you finally learned to read my face?,,,,
2,1,102039011,1,Do you know what it means to kneel at my feet? Not everyone can endure a Queen’s gaze.,I don’t care about my status.,I’ll make the Gods recognize our relationship!,You’re an interesting one… I hope you can handle the pride I rarely show others...,"Heh… If you truly have such resolve, I might one day grant you glory—second only to me."
3,1,102039011,2,I put on this wedding dress remind to remind myself… love will always be held in my hands.,Guess what will be in my hands in a few seconds?,I’ll cherish this bond with you…,... I can’t tell if you’re bold or foolish. Few dare to jest with me like this… Humph.,"... Then hold on tight. If you let go first, I will not forgive you."
4,1,102039011,3,"Do you know... for so many years, I’ve been treated as a symbol of authority in Olympus—never as a maiden who can stir someone's heart…",Yet you always stir mine…,I want you to be my one and only mistress.,You have a sweeter tongue than those around me. But perhaps I’m not used to such tenderness yet...,"Is this a vow to a Goddess… Or a promise to a maiden? Either way, don’t disappoint me."
5,2,102053011,1,"Hmm? My posture looks lazy, you say? But lady Loki told me...you would like this pose with a maid outfit...",,,,
6,1,102053011,1,"...Although I'm a shrine maiden of Japan, I never imagined meeting you like this...",You’ve never looked more captivating.,The maid outfit suits you.,Captivating…? Such words make it harder for me to face you…,"It’s just an outfit, right? I haven’t accepted this role… because I don’t want to be frivolous before you."
7,1,102053011,2,"If I fail in my duties, you may correct me… But isn't this way a bit too unusual?",Am I not being gentle?,"But you don’t dislike it, do you?",...I’d refuse anyone else… But for you… I’ll try not to make a spectacle of myself.,"Please don’t assume my feelings… Even if I'm not resisting, it doesn’t mean I… like it."
8,1,102053011,3,I know it's part of my duty to be looked at… But aren't you staring… too intently?,Should I look away?,You’re just a feast to the eye.,No! It’s just… overwhelming. I don’t know how to face it.,"...If there's something wrong with the outfit, I’ll make it right. But if it’s because of something else… please restrain yourself…"
9,2,102076011,1,Oh? You're finally paying me a visit? I almost thought you were avoiding me.,,,,
10,1,102076011,1,"Mmm~ How much longer do I have to wait, dear? Or is this sweet, juicy cake not tempting enough?",I just want to admire you a while longer!,Why don't you guess what I’m thinking?,Is that so? Then you'll have to hurry...cause a dessert left unattended might be snatched by someone else.,Playing riddles with the Goddess of Mischief? Heh… Your eyes already gave away the answer.
11,1,102076011,2,"I can feel the warmth of your breath whenever you approach, darling...tell me, are you my prey tonight?",Of course! I'm all yours!,Is this one of those sweet traps?,"Hmm... a straight answer like that makes me hesitate. You want to save the best for last, after all.",Trap? Maybe... but isn't it a blessing to fall into my trap?
12,1,102076011,3,"Darling, your hands are getting more bolder. Are you looking for some... punishment?",I'm counting on it!,Eh...would it hurt?,"Oh, my, I didn't expect you to be so forward. Looks like I'll reconsider the severity of this punishment.","Hurt? That depends on how well you behave... Rest assured, I'm very good at making the punishment tempting..."
