name,cn,en,kor,JP,fr,pt,th,id,vn,tc,sp,ru,de
Power of Leader,Power of Leader,Power of Leader,으뜸의 힘,領主の力,,,,,,首領之力,,,
Effect ACC UP,Effect ACC UP,Effect ACC UP,효과 명중 증가,効果命中増加,,,,,,Effect ACC UP,,,
Max HP UP,Max HP UP,Max HP UP,생명 상한 증가,最大HP増加,,,,,,Max HP UP,,,
ATK DOWN,ATK DOWN,ATK DOWN,공격력 감소,攻撃力減少,,,,,,攻擊降低,,,
DEF DOWN,DEF DOWN,DEF DOWN,방어력 감소,防御力減少,,,,,,防禦降低,,,
"DEF, P.RES, M.RES DOWN","DEF, P.RES, M.RES DOWN","DEF, P.RES, M.RES DOWN","방어력, 물리저항, 마법저항 감소",防御力 物理耐性 魔法耐性減少,,,,,,防禦 物抗 魔抗降低,,,
DMG UP,DMG UP,DMG UP,대미지 증가,DMG増加,,,,,,傷害提高,,,
DEF UP,DEF UP,DEF UP,방어력 증가,防御力増加,,,,,,防禦提高,,,
"DEF, CRIT UP","DEF, CRIT UP","DEF, CRIT UP","방어력, 치명타 증가",防御力 Crt増加,,,,,,防禦 暴擊提高,,,
"DEF, CRIT, CRIT DMG UP","DEF, CRIT, CRIT DMG UP","DEF, CRIT, CRIT DMG UP","방어력, 치명타, 치명대미지 증가",防御力 Crt CrtDMG増加,,,,,,防禦 暴擊 暴傷提高,,,
Attributes UP,Attributes UP,Attributes UP,속성 증가,ステータス上昇,,,,,,屬性提升,,,
Unable to move,Unable to move,Unable to move,행동 불가,行動不能,,,,,,無法行動,,,
"Taunt, DMG Taken DOWN","Taunt, DMG Taken DOWN","Taunt, DMG Taken DOWN","도발, 받는 대미지 감소",挑発 被DMG減少,,,,,,挑釁 受傷降低,,,
CRIT UP; Debuff Immunity,CRIT UP; Debuff Immunity,CRIT UP; Debuff Immunity,"치명타 증가, 디버프 면역",Crt増加 異常状態免疫,,,,,,暴擊提高 異常免疫,,,
"DMG, DMG Taken UP","DMG, DMG Taken UP","DMG, DMG Taken UP","대미지, 받는 대미지 증가",DMG 被DMG増加,,,,,,傷害 受傷提高,,,
"DMG, DEF UP","DMG, DEF UP","DMG, DEF UP","대미지, 방어력 증가",DMG 防御力増加,,,,,,傷害 防禦提高,,,
Unable to recover HP,Unable to recover HP,Unable to recover HP,회복 불가,HP回復不可,,,,,,無法回復,,,
Poison,Poison,Poison,중독,Poison,,,,,,Poison,,,
CRIT Probability UP,CRIT Probability UP,CRIT Probability UP,치명타율 증가,Crt率増加,,,,,,暴擊率提高,,,
Unable to use skill,Unable to use skill,Unable to use skill,스킬 사용 불가,スキル使用不可,,,,,,無法使用技能,,,
