cfg_id,unlock_count,quality,restore,name,icon,description
2037,65,7,20,拉UR+碎片,2037_UR_PLUS.png,此碎片可在神力觉醒中用于提升女神品质
2039,65,7,20,赫拉UR+碎片,2039_UR_PLUS.png,此碎片可在神力觉醒中用于提升女神品质
2047,65,7,20,丘比特UR+碎片,2047_UR_PLUS.png,此碎片可在神力觉醒中用于提升女神品质
2049,65,7,20,伊卡璐斯UR+碎片,2049_UR_PLUS.png,此碎片可在神力觉醒中用于提升女神品质
2050,65,7,20,卡俄斯UR+碎片,2050_UR_PLUS.png,此碎片可在神力觉醒中用于提升女神品质
2051,65,7,20,海姆达尔UR+碎片,2051_UR_PLUS.png,此碎片可在神力觉醒中用于提升女神品质
2053,65,7,20,卑弥呼UR+碎片,2053_UR_PLUS.png,此碎片可在神力觉醒中用于提升女神品质
2055,65,7,20,冰霜龙母UR+碎片,2055_UR_PLUS.png,此碎片可在神力觉醒中用于提升女神品质
2056,65,7,20,灰烬龙女UR+碎片,2056_UR_PLUS.png,此碎片可在神力觉醒中用于提升女神品质
2057,65,7,20,风暴之龙UR+碎片,2057_UR_PLUS.png,此碎片可在神力觉醒中用于提升女神品质
2060,65,7,20,芙蕾雅UR+碎片,2060_UR_PLUS.png,此碎片可在神力觉醒中用于提升女神品质
2063,65,7,20,沈青儿UR+碎片,2063_UR_PLUS.png,此碎片可在神力觉醒中用于提升女神品质
2065,65,7,20,双子座UR+碎片,2065_UR_PLUS.png,此碎片可在神力觉醒中用于提升女神品质
2067,65,7,20,嫦娥UR+碎片,2067_UR_PLUS.png,此碎片可在神力觉醒中用于提升女神品质
2069,65,7,20,雅典娜UR+碎片,2069_UR_PLUS.png,此碎片可在神力觉醒中用于提升女神品质
2081,65,7,20,荷鲁斯UR+碎片,2081_UR_PLUS.png,此碎片可在神力觉醒中用于提升女神品质
2082,65,7,20,弗丽嘉UR+碎片,2082_UR_PLUS.png,此碎片可在神力觉醒中用于提升女神品质
