step,layer,name,type,npc_team_id,drop_weight_by_quality_level,give_ware_exp,reward
1,1,怪物1,1,10001,550|420|30|0,10,0
2,1,怪物2,1,10002,550|420|30|0,10,0
3,1,人物1,4,0,550|420|30|0,10,0
4,1,怪物3,1,10003,550|420|30|0,10,0
5,1,事件1,2,0,550|420|30|0,10,0
6,1,怪物4,1,10004,550|420|30|0,10,0
7,1,人物2,4,0,550|420|30|0,10,0
8,1,怪物5,1,10005,550|420|30|0,10,0
9,1,事件2,2,0,550|420|30|0,10,0
10,1,Reward,3,0,550|420|30|0,10,1:2:300
11,2,怪物1,1,20001,530|410|60|0,10,0
12,2,怪物2,1,20002,530|410|60|0,10,0
13,2,人物1,4,0,530|410|60|0,10,0
14,2,怪物3,1,20003,530|410|60|0,10,0
15,2,事件1,2,0,530|410|60|0,10,0
16,2,怪物4,1,20004,530|410|60|0,10,0
17,2,人物2,4,0,530|410|60|0,10,0
18,2,怪物5,1,20005,530|410|60|0,10,0
19,2,事件2,2,0,530|410|60|0,10,0
20,2,Reward,3,0,530|410|60|0,10,5:3000245:1
21,3,怪物1,1,30001,510|380|90|20,10,0
22,3,怪物2,1,30002,510|380|90|20,10,0
23,3,人物1,4,0,510|380|90|20,10,0
24,3,怪物3,1,30003,510|380|90|20,10,0
25,3,事件1,2,0,510|380|90|20,10,0
26,3,怪物4,1,30004,510|380|90|20,10,0
27,3,人物2,4,0,510|380|90|20,10,0
28,3,怪物5,1,30005,510|380|90|20,10,0
29,3,事件2,2,0,510|380|90|20,10,0
30,3,Reward,3,0,510|380|90|20,10,1:2:300
31,4,怪物1,1,40001,490|350|125|35,10,0
32,4,怪物2,1,40002,490|350|125|36,10,0
33,4,人物1,4,0,490|350|125|37,10,0
34,4,怪物3,1,40003,490|350|125|38,10,0
35,4,事件1,2,0,490|350|125|39,10,0
36,4,怪物4,1,40004,490|350|125|40,10,0
37,4,人物2,4,0,490|350|125|41,10,0
38,4,怪物5,1,40004,490|350|125|42,10,0
39,4,事件2,2,0,490|350|125|43,10,0
40,4,Reward,3,0,490|350|125|44,10,5:3000245:1
41,5,怪物1,1,50001,470|330|150|50,10,0
42,5,怪物2,1,50002,470|330|150|50,10,0
43,5,人物1,4,0,470|330|150|50,10,0
44,5,怪物3,1,50003,470|330|150|50,10,0
45,5,事件1,2,0,470|330|150|50,10,0
46,5,怪物4,1,50004,470|330|150|50,10,0
47,5,人物2,4,0,470|330|150|50,10,0
48,5,怪物5,1,50005,470|330|150|50,10,0
49,5,事件2,2,0,470|330|150|50,10,0
50,5,Reward,3,0,470|330|150|50,10,5:3000245:1
