id,avatar_name,spine_name,avatar_icon_big,avatar_icon_small,long_image,avatar_quality,animal_cid,is_default,unlock_cond1,unlock_operation,unlock_cond2,unlock_desc,is_show,image_bg,audio_folder_name,audio_name,audio_random_count
101001000,Yvette,SN_BRM,1000_DGF.png,1001_0.jpg,img_shouniang1.png,2,1,1,0,0,0,Default,1,animal_ui_bg_1.jpg,,,4
102001000,Fenrir,SN_LN,2001_2.png,1004_0.jpg,img_shouniang4.png,2,2,1,0,0,0,Default,1,animal_ui_bg_1.jpg,,,4
103001000,Nefertari,SN_BSN,2001_0.png,1002_0.jpg,img_shouniang2.png,2,3,1,0,0,0,Default,1,animal_ui_bg_1.jpg,,,4
104001000,Yukizakura,SN_JWH,2001_YZ1.png,1005_0.jpg,img_shouniang5.png,2,4,1,0,0,0,Default,1,animal_ui_bg_1.jpg,,,4
105001000,Eleanor,SN_BHJY,2001_1.png,1003_0.jpg,img_shouniang3.png,2,5,1,0,0,0,Default,1,animal_ui_bg_1.jpg,,,4
106001000,Xiyu,SN_YT,2001_1.png,1006_0.jpg,img_shouniang6.png,2,6,1,0,0,0,Default,1,animal_ui_bg_1.jpg,,,4
107001000,Eunice,SN_BRNN,2001_1.png,1007_0.jpg,img_shouniang7.png,2,7,1,0,0,0,Default,1,animal_ui_bg_1.jpg,,,4
108001000,Sylva,SN_FJL,2001_1.png,1008_0.jpg,img_shouniang8.png,2,8,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
109001000,Undine,SN_SJL,2001_1.png,1009_0.jpg,img_shouniang9.png,2,9,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
110001000,Gnome,SN_TJL,2001_1.png,1010_0.jpg,img_shouniang10.png,2,10,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
111001000,Salamandra,SN_HJL,2001_1.png,1011_0.jpg,img_shouniang11.png,2,11,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
112001000,HatiandSköll,SN_HT,2001_1.png,1012_0.jpg,img_shouniang12.png,2,12,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
113001000,Nidhogg,SN_NDHG,2001_1.png,1013_0.jpg,img_shouniang13.png,2,13,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
114001000,Jormungand,SN_YMJD,2001_1.png,1014_0.jpg,img_shouniang14.png,2,14,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
115001000,Finette,SN_ML,2001_1.png,1015_0.jpg,img_shouniang15.png,2,15,1,0,0,0,Default,1,animal_ui_bg_1.jpg,,,4
116001000,Eva,SN_DJS,2001_1.png,1016_0.jpg,img_shouniang16.png,2,16,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
117001000,Vandis,SN_YS,2001_1.png,1017_0.jpg,img_shouniang17.png,2,17,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
118001000,Leonie,SN_SJ,2001_1.png,1018_0.jpg,img_shouniang18.png,2,18,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
119001000,Qinglong,SN_QL,2001_1.png,1019_0.jpg,img_shouniang19.png,2,19,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
120001000,Baihu,SN_BH,2001_1.png,1020_0.jpg,img_shouniang20.png,2,20,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
121001000,Zhuque,SN_ZQ,2001_1.png,1021_0.jpg,img_shouniang21.png,2,21,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
122001000,Xuanwu,SN_XW,2001_1.png,1022_0.jpg,img_shouniang22.png,2,22,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
123001000,Scarlett,SN_TER,2001_1.png,1023_0.jpg,img_shouniang23.png,2,23,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
124001000,Evelyn,SN_WDG,2001_1.png,1024_0.jpg,img_shouniang24.png,2,24,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
125001000,Camila,SN_ZXEM,2001_1.png,1025_0.jpg,img_shouniang25.png,2,25,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
126001000,Elfreya,SN_AEFRY,2001_1.png,1026_0.jpg,img_shouniang26.png,2,26,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
127001000,Ereos,SN_ALES,2001_1.png,1027_0.jpg,img_shouniang27.png,2,27,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
128001000,Vistara,SN_WSTL,2001_1.png,1028_0.jpg,img_shouniang28.png,2,28,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
129001000,Greenorth,SN_GLNS,2001_1.png,1029_0.jpg,img_shouniang29.png,2,29,1,0,0,0,Default,1,animal_ui_bg_2.jpg,,,4
