cfg_id,change_cfg_id,name,buy_count,old_price,reward_str,image_show,need_dungeon_id,need_level,summon_place_id,sort_id
1,1013,WEEKLY_LIMIT_13,1,4.99,10:300|5:2000023:3|5:2000025:3,img_zhoulibao13.png,0,0,0,1
2,1014,WEEKLY_LIMIT_14,1,9.99,10:600|5:2000028:3|5:2000030:3,img_zhoulibao14.png,0,0,0,2
3,1015,WEEKLY_LIMIT_15,1,19.99,10:1200|5:2000028:5|5:2000030:5,img_zhoulibao15.png,0,0,0,3
4,1001,WEEKLY_LIMIT_1,1,4.99,10:300|5:2000009:80|1:14:30000,img_zhoulibao.png,0,0,0,4
5,1002,WEEKLY_LIMIT_2,1,9.99,10:600|5:2000010:60|1:4:20000,img_zhoulibao2.png,0,0,0,5
6,1003,WEEKLY_LIMIT_3,1,19.99,10:1200|5:2000011:50|5:3000006:1500,img_zhoulibao3.png,0,0,0,6
7,1004,WEEKLY_LIMIT_4,1,4.99,10:300|5:6000001:10,img_zhoulibao4.png,0,40,0,7
8,1005,WEEKLY_LIMIT_5,2,29.99,10:1800|5:6000001:35,img_zhoulibao5.png,0,40,0,8
9,1006,WEEKLY_LIMIT_6,3,99.99,10:6000|5:6000001:80,img_zhoulibao6.png,0,40,0,9
10,1007,WEEKLY_LIMIT_7,1,4.99,10:300|5:1000008:5,img_zhoulibao7.png,0,70,0,10
11,1008,WEEKLY_LIMIT_8,2,29.99,10:1800|5:1000008:25,img_zhoulibao8.png,0,70,0,11
12,1009,WEEKLY_LIMIT_9,3,99.99,10:6000|5:1000008:70,img_zhoulibao9.png,0,70,0,12
13,1010,WEEKLY_LIMIT_10,1,4.99,10:300|5:3000011:5,img_zhoulibao10.png,0,50,0,13
14,1011,WEEKLY_LIMIT_11,2,29.99,10:1800|5:3000011:15,img_zhoulibao11.png,0,50,0,14
15,1012,WEEKLY_LIMIT_12,3,99.99,10:6000|5:3000011:40,img_zhoulibao12.png,0,50,0,15
16,0,WEEKLY_LIMIT_0,1,0.99,10:10|1:1:10000|1:2:10,img_free.png,0,0,0,0
17,1016,WEEKLY_LIMIT_100,3,49.99,10:1200|5:1000041:15,img_liwu1.png,0,30,0,16
18,1017,WEEKLY_LIMIT_17,3,49.99,10:3000|5:3000092:1500,img_zhoulibao18.png,0,80,0,17
19,1018,WEEKLY_LIMIT_18,6,29.99,10:1200|5:3000140:20|5:3000139:2500,img_zhoulibao19.png,0,110,0,18
