gear_id,start_value,end_value,attr_type_type,attr_type,attr_value,attr_type_type2,attr_type2,attr_value2
1,200,400,3,1,10,3,2,10
2,400,500,3,1,10,3,2,10
3,500,600,3,1,10,3,2,10
4,600,700,3,1,10,3,2,10
5,700,800,3,1,10,3,2,10
6,800,850,3,1,10,3,2,10
7,850,900,3,1,10,3,2,10
8,900,950,3,1,10,3,2,10
9,950,1000,3,1,10,3,2,10
10,1000,1050,3,1,10,3,2,10
11,1050,1100,3,1,10,3,2,10
12,1100,1150,3,1,10,3,2,10
13,1150,1200,3,1,10,3,2,10
14,1200,1250,3,1,10,3,2,10
15,1250,1300,3,1,10,3,2,10
16,1300,1350,3,1,10,3,2,10
17,1350,1400,3,1,10,3,2,10
18,1400,1450,3,1,10,3,2,10
19,1450,1500,3,1,10,3,2,10
20,1500,1550,3,1,10,3,2,10
21,1550,1600,3,1,10,3,2,10
22,1600,1650,3,1,10,3,2,10
23,1650,1700,3,1,10,3,2,10
24,1700,1750,3,1,10,3,2,10
25,1750,1800,3,1,10,3,2,10
26,1800,1850,3,1,10,3,2,10
27,1850,1900,3,1,10,3,2,10
28,1900,1950,3,1,10,3,2,10
29,1950,2000,3,1,10,3,2,10
30,2000,2050,3,1,10,3,2,10
31,2050,2150,3,1,10,3,2,10
32,2150,2250,3,1,10,3,2,10
33,2250,2350,3,1,10,3,2,10
34,2350,2450,3,1,10,3,2,10
35,2450,2500,3,1,10,3,2,10
