cfg_id,type,quality,name,useEffect,end_time,icon,desc
0,0,1,无,0,0,1000.png,无
1006,1,4,VIP 6,0,0,1006.png,VIP 6专用头像框
1007,1,4,VIP 7,0,0,1007.png,VIP 7专用头像框
1008,1,4,VIP 8,0,0,1008.png,VIP 8专用头像框
1009,1,5,VIP 9,0,0,1009.png,VIP 9专用头像框
1010,1,5,VIP 10,0,0,1010.png,VIP 10专用头像框
1011,1,5,VIP 11,0,0,1011.png,VIP 11专用头像框
1012,1,6,VIP 12,0,0,1012.png,VIP 12专用头像框
1013,1,6,VIP 13,0,0,1013.png,VIP 13专用头像框
1014,1,6,VIP 14,0,0,1014.png,VIP 14专用头像框
1015,1,6,VIP 15,0,0,1015.png,VIP 15专用头像框
1016,1,6,VIP 16,0,0,1016.png,VIP 16专用头像框
1017,1,6,VIP 17,1,0,1017.png,VIP 17专用头像框
1018,1,6,VIP 18,1,0,1018.png,VIP 18专用头像框
1019,1,6,VIP 19,1,0,1019.png,VIP 19专用头像框
1020,1,6,VIP 20,1,0,1020.png,VIP 20专用头像框
2001,2,4,荣耀竞技场8强,0,0,2001.png,荣耀竞技场8强头像框
2002,2,5,荣耀竞技场4强,0,0,2002.png,荣耀竞技场4强头像框
2003,2,5,荣耀竞技场决赛,0,0,2003.png,荣耀竞技场决赛选手头像框
2004,2,6,荣耀竞技场冠军,0,0,2004.png,荣耀竞技场冠军头像框
2005,2,6,荣耀竞技场2次冠军,0,0,2005.png,荣耀竞技场2届冠军头像框
3001,3,6,诸神之战1次冠军,0,0,3001.png,诸神之战1次冠军头像框
3002,3,6,诸神之战2次冠军,0,0,3002.png,诸神之战2次冠军头像框
3003,3,6,诸神之战3次冠军,0,0,3003.png,诸神之战3次冠军头像框
3004,3,6,诸神之战4次冠军,0,0,3004.png,诸神之战4次冠军头像框
3005,3,6,诸神之战5次冠军,0,0,3005.png,诸神之战5次冠军头像框
3006,3,6,诸神之战6次冠军,0,0,3006.png,诸神之战6次冠军头像框
3007,3,6,诸神之战7次冠军,0,0,3007.png,诸神之战7次冠军头像框
3008,3,6,诸神之战8次冠军,0,0,3008.png,诸神之战8次冠军头像框
3009,3,6,诸神之战9次冠军,0,0,3009.png,诸神之战9次冠军头像框
3010,3,6,诸神之战10次冠军,0,0,3010.png,诸神之战10次冠军头像框
3011,3,6,诸神之战11次冠军,0,0,3011.png,诸神之战11次冠军头像框
3012,3,6,诸神之战12次冠军,0,0,3012.png,诸神之战12次冠军头像框
3013,3,6,诸神之战13次冠军,0,0,3013.png,诸神之战13次冠军头像框
3014,3,6,诸神之战14次冠军,0,0,3014.png,诸神之战14次冠军头像框
3015,3,6,诸神之战15次冠军,0,0,3015.png,诸神之战15次冠军头像框
