id,name,quality,end_time,icon_thing,icon_left,icon_right,desc,is_permanent,expiration_time
1001,默认聊天气泡,1,0,1001.png,1001_l.png,1001_r.png,默认聊天气泡,,
1002,周年庆聊天气泡,5,0,1002.png,1002_l.png,1002_r.png,周年庆聊天气泡,,
1003,VIP15专属聊天气泡,6,0,1003.png,1003_l.png,1003_r.png,VIP15专属聊天气泡,,
1004,情满中秋聊天气泡,6,0,1004.png,1004_l.png,1004_r.png,2021中秋节限定聊天气泡,,
1005,万圣狂欢聊天气泡,6,0,1005.png,1005_l.png,1005_r.png,2021万圣节限定聊天气泡,,
1006,感恩节限定聊天气泡,6,0,1006.png,1006_l.png,1006_r.png,感恩节限定聊天气泡,,
1007,圣诞节限定聊天气泡,6,0,1007.png,1007_l.png,1007_r.png,2021圣诞节限定聊天气泡,,
1008,春节限定聊天气泡,6,0,1008.png,1008_l.png,1008_r.png,2022春节限定聊天气泡,,
1009,复活节限定聊天气泡,6,0,1009.png,1009_l.png,1009_r.png,2022复活节限定聊天气泡,,
1010,两周年聊天气泡,6,0,1010.png,1010_l.png,1010_r.png,2022两周年限定纪念聊天气泡,,
1016,VIP16专属聊天气泡,6,0,1016.png,1016_l.png,1016_r.png,VIP16专属聊天气泡,,
1017,VIP17专属聊天气泡,6,0,1017.png,1017_l.png,1017_r.png,VIP17专属聊天气泡,,
1018,VIP18专属聊天气泡,6,0,1018.png,1018_l.png,1018_r.png,VIP18专属聊天气泡,,
1019,VIP19专属聊天气泡,6,0,1019.png,1019_l.png,1019_r.png,VIP19专属聊天气泡,,
1020,VIP20专属聊天气泡,6,0,1020.png,1020_l.png,1020_r.png,VIP20专属聊天气泡,,
1024,月圆中秋聊天气泡,6,0,1024.png,1024_l.png,1024_r.png,2022中秋节限定聊天气泡,,
1025,2022万圣节聊天气泡框,6,0,1025.png,1025_l.png,1025_r.png,2022万圣节限定聊天气泡,,
1026,2022感恩节聊天气泡框,6,0,1026.png,1026_l.png,1026_r.png,2022感恩节限定聊天气泡,,
1027,2022圣诞节聊天气泡框,6,0,1027.png,1027_l.png,1027_r.png,2022圣诞节限定聊天气泡,,
1028,2023春节限定聊天气泡,6,0,1028.png,1028_l.png,1028_r.png,2023春节限定聊天气泡,,
1029,2023情人节限定聊天气泡,6,0,1029.png,1029_l.png,1029_r.png,2023情人节限定聊天气泡,,
1030,2023春季限定聊天气泡框,6,0,1030.png,1030_l.png,1030_r.png,2023春季限定聊天气泡框,,
1031,复活节限定聊天气泡,6,0,1031.png,1031_l.png,1031_r.png,2023复活节限定聊天气泡,,
2000,社群聊天气泡1,6,0,2000.png,2000_l.png,2000_r.png,社群聊天气泡1,,
2001,社群聊天气泡2,6,0,2001.png,2001_l.png,2001_r.png,社群聊天气泡2,,
2002,社群聊天气泡3,6,0,2002.png,2002_l.png,2002_r.png,社群聊天气泡3,,
3001,花嫁主题聊天气泡,6,0,3001.png,3001_l.png,3001_r.png,花嫁主题聊天气泡,,
100001,限时聊天气泡测试,6,60,1020.png,1020_l.png,1020_r.png,限时聊天气泡测试,,
