hcid,name,job,attack_speed,normal_attack_get_power,power_max,normal_attack_id,skill_id,weight,strength,agility,intelligence,stamina,attack_position_x,attack_position_y,spine_position_x,spine_position_y,spine_id,attack_time
2030,Gabriel,2,1700,5,100,2,8,100,80,100,100,100,22.4,1.6,13.4,-14.5,102030000|102030000|102030000,0.5
2020,Muse,3,2000,5,100,3,9,100,100,100,100,100,21.7,38.8,-22.3,4.2,102020000|102020001|102020002,0.5
2018,Minotaur,1,2400,5,100,1,10,100,120,100,100,100,25,-35,-9.7,-44,102018000|102018001|102018002,0.5
2007,Ungnyeo,1,2400,5,100,1,12,100,120,100,100,100,15.1,2.1,-8.4,-6.5,102007000|102007000|102007000,0.5
2006,Tsukuyomi,2,1700,5,100,2,16,100,80,100,100,100,-2.8,-74.8,-19,-59.4,102006000|102006001|102006002,0.5
2005,Nephthys,2,1550,5,100,2,11,90,120,150,150,150,23.1,3.5,4.2,-9.2,102005000|102005000|102005001|102005002,0.5
2029,Apep,3,1800,5,100,3,18,90,150,150,150,150,13.8,-44.2,0.9,-48.2,102029000|102029000|102029001|102029002,0.5
2023,Sif,1,2160,5,100,1,14,90,180,150,150,150,42.9,-9.7,14.8,-17.8,102023000|102023000|102023001|102023002,0.5
2017,Raphael,3,1800,5,100,3,15,90,150,150,150,150,19.1,-32.2,-1.8,-41.6,102017000|102017000|102017001|102017002,0.5
2010,Lilith,3,1800,5,100,3,17,90,150,150,150,150,19.8,-82.4,-3.7,-47.6,102010000|102010000|102010001|102010001,0.5
2008,Shennong,1,2160,5,100,1,19,90,180,150,150,150,3.2,-46.8,-16.4,-33,102008000|102008000|102008001|102008002,0.5
2022,Verdandi,3,1600,5,100,3,23,80,120,150,150,150,-0.7,-21.7,-7.1,-19.1,102022000|102022000|102022000|102022000,0.5
2034,Anubis,1,1920,5,100,1,13,80,240,200,200,200,14.5,-12.4,18,-16.5,102034000|102034000|102034100|102034100,0.5
2033,Nyx,2,1400,5,100,2,21,80,160,200,200,200,9.9,0.8,3.5,-22.4,102033000|102033000|102033001|102033002,0.5
2027,Xiwangmu,2,1400,5,100,2,20,80,160,200,200,200,22.4,-4,6.8,-21.1,102027000|102027000|102027001|102027002,0.5
2021,Iris,2,1400,5,100,2,22,80,160,200,200,200,-3.4,-17,-28.9,-35.6,102021000|102021000|102021001|102021002,0.5
2009,Geb,1,1920,5,100,1,24,80,240,200,200,200,5.8,-2.6,5.5,-11.1,102009000|102009000|102009001|102009002,0.5
2001,Medusa,1,1680,5,100,1,25,70,300,250,250,250,25,14,-9,-3,102001000|102001000|102001001|102001001|102001002,0.5
2002,Poseidon,3,1400,5,100,3,26,70,250,250,250,250,-24,-3,-5,-30,102002000|102002000|102002001|102002001|102002002,0.5
2003,Jeanne d'Arc,1,1680,5,100,1,27,70,300,250,250,250,18,56,-5,-3,102003000|102003000|102003001|102003001|102003002,0.5
2004,Siren,3,1400,5,100,3,28,70,250,250,250,250,28,-9,-2,-18,102004000|102004000|102004001|102004001|102004002,0.5
2011,Nuit,3,1400,5,100,3,29,70,250,250,250,250,5,-15,-5,-30,102011000|102011000|102011001|102011001|102011002,0.5
2014,Nike,1,1680,5,100,1,30,70,300,250,250,250,39,-27,-3,-45,102014000|102014000|102014001|102014001|102014002,0.5
2015,Idun,2,1200,5,100,2,31,70,200,250,250,250,45,1,-5,4,102015000|102015000|102015001|102015001|102015002,0.5
2019,Nemesis,2,1200,5,100,2,32,70,200,250,250,250,0,-38,-3,-39,102019000|102019000|102019001|102019001|102019002,0.5
2036,Phantasos,2,1200,5,100,2,33,70,200,250,250,250,68,-35,3,-44,102036000|102036000|102036001|102036001|102036002,0.5
2013,Pandora,3,1200,5,100,3,34,60,300,300,300,300,32,-26,-11,-37,102013000|102013000|102013001|102013001|102013002,0.5
2024,Lucifer,1,1440,5,100,1,35,60,360,300,300,300,41,23,0,0,102024000|102024000|102024001|102024001|102024002,0.5
2026,Fuxi,3,1200,5,100,3,36,60,300,300,300,300,13,-37,-18,-38,102026000|102026000|102026001|102026001|102026002,0.5
2028,Princess Bari,2,1100,5,100,2,37,60,240,300,300,300,-37,-8,-10,-1,102028000|102028000|102028001|102028001|102028002,0.5
2038,Izu Dancer,2,1100,5,100,2,38,60,240,300,300,300,62,30,0,8,102038000|102038000|102038001|102038001|102038002,0.5
2040,Zhu Rong,3,1200,5,100,3,39,60,300,300,300,300,30,27,0,10,102040000|102040000|102040001|102040001|102040002,0.5
2041,Hephaestus,1,1440,5,100,1,40,60,360,300,300,300,33,-65,0,-22,102041000|102041000|102041001|102041001|102041002,0.5
2046,Izanami,2,1100,5,100,2,41,60,240,300,300,300,52,14,0,0,102046000|102046000|102046001|102046001|102046002,0.5
