id,replace_id,hero_id,relic_id,quality_level,awake_level
31,3,1001,150052,14,90
32,3,2037,150036,14,90
33,3,2039,150037,14,90
34,3,2047,150038,14,90
35,3,2049,150042,14,90
36,3,2050,150040,14,90
37,3,2051,150039,14,90
38,3,2053,150041,14,90
39,3,2054,150044,14,90
40,3,2055,150043,14,90
41,3,2056,150048,14,90
42,3,2057,150049,14,90
43,3,2060,150050,14,90
44,3,2063,150053,14,90
45,3,2065,150056,14,90
46,3,2067,150054,14,90
47,3,2068,150055,14,90
48,3,2069,150057,14,90
49,3,2071,150058,14,90
50,3,2073,150059,14,90
51,3,2074,150060,14,90
52,3,2075,150061,14,90
53,3,2076,150062,14,90
54,3,2077,150063,14,90
55,3,2078,150064,14,90
56,3,2081,150065,14,90
57,3,2082,150066,14,90
58,3,2083,150067,14,90
59,3,2084,150068,14,90
60,3,2086,150069,14,90
