cid,is_open,quality_level,potential,str_initial,agi_initial,int_initial,sta_initial
1001,1,9,6400,2111,2111,2111,2111
1002,1,9,6400,2111,2111,2111,2111
1003,1,9,6400,2111,2111,2111,2111
2037,1,9,6280,1690,1583,1583,1583
2039,1,9,6333,1583,1583,1688,1583
2047,1,9,6245,1530,1688,1530,1530
2049,1,9,6290,1750,1562,1562,1562
2050,1,9,6333,1562,1562,1562,1688
2051,1,9,6360,1688,1530,1530,1530
2053,1,9,6440,1742,1742,1742,1742
2054,1,9,5763,1182,1182,1182,1182
2055,1,9,6333,1583,1583,1583,1583
2056,1,9,6333,1583,1583,1583,1583
2057,1,9,6333,1583,1583,1583,1583
2060,1,9,6333,1684,1684,1684,1684
2063,1,9,6450,1636,1636,1742,1636
2065,1,9,6280,1670,1670,1670,1670
2067,1,9,6440,1750,1750,1750,1750
2068,1,9,6312,1600,1600,1600,1600
2069,1,9,6333,1594,1594,1594,1594
2071,1,9,6333,1600,1600,1600,1600
2073,1,9,6386,1583,1583,1583,1583
2074,1,9,6344,1594,1594,1594,1594
2075,1,9,6360,1588,1588,1588,1588
2077,1,9,6244,1594,1594,1594,1594
2081,1,9,6440,1752,1752,1752,1752
2082,1,9,6333,1594,1594,1594,1594
2083,1,9,6386,1752,1752,1752,1752
